	1_up_0.04	1_up_0.12	1_up_0.37	1_up_01.11	1_up_03.33	1_up_10.0	2_down_0.04	2_down_0.12	2_down_0.37	2_down_01.11	2_down_03.33	2_down_10.0
negative regulation of intracellular signal transduction (GO:1902532)	2.96560866885	6.22567883709	0.0	1.43444576733	1.05653344405	0.0	-2.48493393413	-8.441107665	-12.9456008542	-8.47553927418	-15.0465896933	-15.0770990459
negative regulation of MAP kinase activity (GO:0043407)	0.0	0.0	0.0	0.0	0.0	0.0	-2.30883121454	-4.71866420361	-11.6839541739	-7.05680717509	-6.97411762376	-11.6725696601
negative regulation of MAPK cascade (GO:0043409)	1.28146793129	0.0	0.0	0.0	0.0	0.0	-2.46571470206	-4.8952154703	-12.8488978433	-8.28213186758	-7.73872523727	-14.1060726098
cellular response to mechanical stimulus (GO:0071260)	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-11.7651440086	-9.40461976882	-10.3941874082	-6.52124813086
response to drug (GO:0042493)	0.428942931281	0.0	0.0	1.31287360127	0.0	0.0	-2.47274815856	-4.07191492744	-17.2860953049	-8.28614059222	-16.1372799729	-13.0120267312
response to mechanical stimulus (GO:0009612)	0.601647815396	0.0	0.0	0.0	0.0	0.0	-2.27724217908	-0.728831850491	-10.8193457881	-6.96210387985	-14.1382009569	-14.4735336843
regulation of interleukin-6 production (GO:0032675)	0.0	0.0	0.0	0.0	0.0	0.0	-0.608098437253	-0.0	-8.76951132563	-4.95615233045	-14.6180020152	-16.4592130849
positive regulation of interleukin-6 production (GO:0032755)	0.0	0.0	0.0	0.0	0.0	0.0	-1.3100020991	-0.0	-11.8292377222	-5.01394200415	-13.141383226	-17.6821635387
regulation of chemokine production (GO:0032642)	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-10.7361138585	-2.71728701187	-11.4580946839	-16.6653124885
response to organophosphorus (GO:0046683)	0.0	0.0	0.0	0.0	0.0	0.0	-1.83708267741	-3.80353947143	-6.07429536069	-1.93981766462	-14.1359651122	-12.6916467411
response to purine-containing compound (GO:0014074)	0.0	0.0	0.0	0.0	0.0	0.0	-2.32899656411	-3.4440113033	-7.46987082003	-1.51136702457	-15.1921867144	-14.3260799419
