	1_up_0.04	1_up_0.12	1_up_0.37	1_up_01.11	1_up_03.33	1_up_10.0	2_down_0.04	2_down_0.12	2_down_0.37	2_down_01.11	2_down_03.33	2_down_10.0
regulation of protein serine/threonine kinase activity (GO:0071900)	0.231828010143	0.0	0.0	0.973077325176	0.129300550147	0.0	-3.72185865844	-3.65241088656	-10.4949000173	-12.1966302215	-8.32124861654	-11.839444729
DNA damage checkpoint (GO:0000077)	0.0	1.73907667985	0.665076877865	4.13122161358	0.0	0.597964639584	-12.7899608963	-20.563679392	-24.8037378552	-24.4617736927	-16.4271438208	-28.450632739
DNA replication-independent nucleosome assembly (GO:0006336)	0.0	0.0	0.0	0.0	0.0	0.0	-10.0265424719	-21.0109041921	-20.969726292	-20.9363604302	-21.1256433489	-15.0739547189
DNA replication-independent nucleosome organization (GO:0034724)	0.0	0.0	0.0	0.0	0.0	0.0	-9.9978348665	-21.0648400516	-20.9210236758	-20.9886408731	-21.1780683516	-15.0382580091
mitotic G2 DNA damage checkpoint (GO:0007095)	0.0	0.799746283272	0.0	0.890502406084	0.0	1.1269002014	-6.37243243702	-6.50762167559	-6.587457458	-8.0023787808	-8.71248390765	-15.1989886779
DNA replication (GO:0006260)	0.0	0.0	0.0	0.0	0.0	0.0	-63.7568297922	-63.3805619694	-77.4331044157	-86.7591765844	-72.3224524909	-65.3180914161
chromatin assembly or disassembly (GO:0006333)	0.0	0.0	0.0	0.0	0.0	0.0	-12.5629908719	-21.2485312741	-25.9379640995	-20.980966437	-25.8123015707	-16.243057215
DNA replication checkpoint (GO:0000076)	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-6.0975001976	-7.06568199076	-0.0
mitotic DNA damage checkpoint (GO:0044773)	0.0	2.32743445129	0.450282012315	2.24808632926	0.0	2.03878030364	-14.913495307	-20.4671943639	-20.3548774448	-26.148170948	-15.0649552321	-31.9800788291
DNA integrity checkpoint (GO:0031570)	0.0	1.45471363103	0.520792483161	3.94010264386	0.0	0.39736497158	-27.1329939684	-31.4137957631	-31.4640315485	-35.6012668043	-26.919929448	-35.1237887531
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	0.0	0.0	0.0	0.0	0.0	0.0	-10.8377798465	-7.7728780801	-10.7996365869	-10.6596284994	-10.7742626092	-17.2200844385
regulation of protein catabolic process (GO:0042176)	0.0	0.0	0.0	0.966222262207	0.0	0.0	-6.6961345835	-11.3127519648	-14.0063326476	-13.5727919339	-6.51917594919	-13.2173215184
mitotic nuclear envelope disassembly (GO:0007077)	0.0	0.0	0.0	0.0	0.0	0.0	-19.3985375358	-25.1843239471	-31.1755387053	-19.2833129872	-31.0753495346	-24.5772495919
nuclear envelope disassembly (GO:0051081)	0.0	0.0	0.0	0.0	0.0	0.0	-18.7888243834	-24.5695893807	-30.3556379821	-18.6754244099	-30.3330091996	-23.9259585744
nuclear envelope organization (GO:0006998)	0.0	0.0	0.0	0.0	0.0	0.0	-13.1488709418	-17.4243821467	-21.9304269885	-13.0433988248	-21.8697620292	-16.9515055311
membrane disassembly (GO:0030397)	0.0	0.0	0.0	0.0	0.0	0.0	-18.8217348744	-24.5078100526	-30.4033616888	-18.7068690731	-30.2585552242	-23.8667629013
CENP-A containing nucleosome assembly (GO:0034080)	0.0	0.0	0.0	0.0	0.0	0.0	-6.35205143153	-11.5357877547	-11.6079945739	-12.1465771685	-12.4729673373	-6.69116129249
G2 DNA damage checkpoint (GO:0031572)	0.0	2.16141616105	0.419595665594	4.26933812558	0.0	0.284159810265	-14.116021954	-14.0852049849	-19.3296067279	-14.1120835887	-14.3205198241	-19.1046330462
DNA replication initiation (GO:0006270)	0.0	0.0	0.0	0.0	0.0	0.0	-23.5399418205	-30.3358357184	-37.0583634566	-50.9120310805	-30.2518778393	-23.3766193921
regulation of DNA metabolic process (GO:0051052)	0.0	0.987113589739	0.0	0.901076219332	0.0	0.0	-10.6546734719	-18.8553053472	-15.9633115686	-15.4911587562	-15.665616458	-15.1110181505
chromatin remodeling at centromere (GO:0031055)	0.0	0.0	0.0	0.0	0.0	0.0	-6.0034040655	-10.8865804895	-10.9664051996	-11.3816084608	-11.7226951186	-6.03732673907
nucleosome assembly (GO:0006334)	0.0	0.0	0.0	0.0	0.0	0.0	-10.4466063547	-17.4203106808	-13.8236644584	-17.1139008936	-21.0878460925	-9.96605714358
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-6.88710271554	-0.0	-2.73085761996	-2.72127423536	-8.3463039941
binding of sperm to zona pellucida (GO:0007339)	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-8.72419736743	-4.67311874663	-1.79748400629	-0.0	-18.4434868989
protein-DNA complex assembly (GO:0065004)	0.0	0.0	0.0	0.0	0.0	0.0	-15.0541180654	-18.5753988576	-15.0299474414	-21.9072565571	-26.0313378047	-11.215814149
protein folding (GO:0006457)	0.0	0.0	0.104507193943	0.0	0.0	0.0	-6.21788707803	-8.37356666224	-13.4652645079	-5.93273445447	-4.22078249009	-15.4719272457
mitotic G2/M transition checkpoint (GO:0044818)	0.0	0.681142186824	0.0	0.752476580609	0.0	0.96040876002	-14.1032655438	-13.6670628059	-7.02340782668	-14.5792198971	-14.7392955558	-21.6333845503
nucleotide-excision repair (GO:0006289)	0.0	0.0	0.0	0.0	0.0	0.0	-17.346612358	-9.81807516787	-9.80830194556	-17.0642061868	-25.729542698	-12.9538578656
positive regulation of protein ubiquitination (GO:0031398)	0.0	0.0	0.0	0.0	0.0	0.0	-4.10616180962	-14.5723376666	-25.0013875209	-11.223278865	-8.57022822577	-8.20612655967
positive regulation of protein modification by small protein conjugation or removal (GO:1903322)	0.0	0.0	0.0	0.0	0.0	0.0	-3.57152156134	-13.4364139333	-23.5431039039	-10.2483143955	-7.77012343394	-7.40318672656
positive regulation of mitotic cell cycle phase transition (GO:1901992)	0.0	0.0	0.0	0.0	0.0	0.0	-8.54607313122	-8.49642492349	-4.58205829011	-8.59966932611	-8.76614915679	-12.8388862019
positive regulation of cell cycle phase transition (GO:1901989)	0.0	0.0	0.0	0.0	0.0	0.0	-7.86002897288	-7.8380951636	-4.16262894178	-7.94650782261	-8.04533714234	-11.8808451103
