	0.04	0.12	0.37	1.11	3.33	10.0
A2M		-0.0120946459713				
ABCC4	-0.0248773933361					
ABLIM3			-0.0127333672183			
ABP1			-0.0202065097211			
ACE2						-0.0173815354464
ACOT9				-0.0415648971985		
ACP5		-0.0220715260264				
ACSL1	-0.0189543945474					-0.0137491810993
ACSL4		-0.0135102446806				
ACSL5	-0.0309790338093				-0.0294467245347	-0.022774859444
ACTA1					-0.012669425626	
ACVR2B			-0.0132456650769			
ACYP1					-0.0140751687977	
ADAMTS5	-0.0307848959547					
ADAP2			-0.0144445808355			
ADCK3				-0.0167415520817		
ADD3	-0.0161073291787					
ADH1A			-0.0140104311691			
ADH5	-0.0143140887291					
ADI1						-0.0205891731379
ADIPOQ				-0.0175812013039		
ADM			-0.0127726453335			
ADO				-0.0220684936453		
AGAP1		-0.0161246029971				
AGL					-0.023278153745	
AGT			-0.0153555371262			
AHR				-0.0185791865733		
AIDA				-0.0130433197445		
AIM1	-0.0135046445849					
AIM2		-0.0126833541052				
AKR1B1	-0.0168363273568					-0.0168419404638
AKR1D1				-0.0143416351749		
AKR7A3						-0.0130406679378
ALB			-0.0139372470055			
ALDH1A3	-0.0314045631536	-0.0120397014255				-0.0190052447057
ALDH2			-0.0155349631128			
ALDOC			-0.0271777126587			
ALOX12	-0.01411891013					
ALPK3		-0.012163595998				
AMOTL2						-0.0126983146312
ANGPT1		-0.0126290763495				
ANKRD10	-0.0163463558993					
ANKRD36B	-0.0240619975295				-0.0145531977435	
ANKRD46			-0.0127623564063			
ANKRD57	-0.0166022081722			-0.0143812137027		
ANO1			-0.0186362218433			
ANP32E				-0.0149882225141		
ANPEP		-0.0253516940674				
ANXA1				-0.0174132453599	-0.0198734354412	
ANXA10	-0.0253546504588	-0.0124979616233	-0.0212401013139	-0.01598321944		
ANXA3			-0.0190857407326		-0.0282902630744	
AOAH			-0.0142333273282			
APOB		-0.0190938407586	-0.0207985912972			
APOBEC3A			-0.017556796703	-0.0131821298443		
APOBEC3B				-0.0222084453324		
APOC3			-0.0133099387538			
APOD	-0.016437549811				-0.0165324284223	
APOF		-0.0138758391036				
APOL6				-0.0134444884423		
APOLD1				-0.0169029752138		
APPL1						-0.0140188097049
AQP9	-0.0171356232707		-0.0199652367616			
ARAP2						-0.0144287497401
ARAP3				-0.0165016065904		
ARG1			-0.0179493160236			
ARHGAP12	-0.014925434875					
ARHGAP22	-0.0155016175448					
ARHGAP25						-0.0134744481498
ARHGAP5		-0.0127658084132				
ARHGEF10L			-0.0145057216725			
ARID5B	-0.0193604018094	-0.0229775914981	-0.0168206177344		-0.0166749923502	-0.0162015361332
ARL4A				-0.0147806354937		
ARL6IP1				-0.0149203942922		
ARMCX5						-0.0127969100767
ARMCX6						-0.0134830939397
ARRB2		-0.0141481636777				
ASB9				-0.0132428441775		
ASCC2	-0.0143810379579					
ASF1B	-0.0136061649054					
ATAD2			-0.0141398750047	-0.016664944866		-0.0167454068745
ATAT1			-0.0149118616848			
ATF3						-0.0135148979838
ATF4					-0.0139496455763	
ATHL1					-0.0149649904892	
ATP13A3				-0.0136387059045		
AUTS2		-0.0148778270338	-0.0136621433964			
AVPI1				-0.0180242748596		
AZU1				-0.0208126653538		-0.0159179675282
BACE1						-0.0164305519247
BACE2		-0.0123419595946				
BARD1						-0.0184883325441
BATF3				-0.0125401162171		
BBOX1	-0.0185649350488					
BCAS1	-0.0164338106226					
BCAS3			-0.0138861938512			
BEX4		-0.0182361816522	-0.0149375157025			
BHLHE41	-0.0228199961934					
BHMT2			-0.0207236558655			
BID	-0.0135192161994					
BIK						-0.0193350541322
BIRC3	-0.0157629026011					
BLM		-0.0180952630577	-0.0163734096323		-0.012524661908	
BLMH		-0.012056623775	-0.0155615937791			-0.0128904887007
BLNK	-0.0172666042988	-0.0176449788108				
BMI1	-0.0139422992876				-0.0125427200305	
BNIP3L						-0.0149840688652
BRIP1				-0.0139695967466		-0.0144775473372
BST2				-0.0162675394659		
BTK		-0.0231675177293				-0.0400207956148
BTN3A2					-0.0132051620588	
C10ORF10				-0.0157457223073		
C11ORF75				-0.0136061711918		
C13ORF15		-0.0123717971283			-0.0333422023079	
C13ORF27		-0.0137263364572				-0.0240274451217
C14ORF101			-0.0133735517723			
C1GALT1	-0.0140893588255				-0.0167753964013	
C1ORF106						-0.0128629169128
C1ORF115		-0.0182524666377				
C1QA			-0.0302717736852		-0.0159653914526	
C1QB			-0.0252300712677		-0.0183690271445	
C1R	-0.0141797626954				-0.0170166053687	-0.0148230331626
C1S	-0.0174241934727				-0.0228806230303	-0.0302514909697
C2						-0.0168171873635
C2CD2		-0.0165686959525	-0.0264214672759	-0.0189919308017		
C3AR1		-0.0149145115315				
C4BPB			-0.0223847601036			
C4ORF19		-0.0249343158406		-0.0165920692296	-0.0158887402403	
C5AR1	-0.017308124313					
C6		-0.0134548265618				
C6ORF48					-0.0150593233583	
C7ORF58	-0.0157339670166					
C9		-0.0183828047926	-0.0126289076285			
C9ORF40		-0.0120501308428		-0.0124834030671		
CA2	-0.0307814087908		-0.0187487570767			
CA9			-0.0147689764355			
CALML5		-0.020146534746				
CAMK1			-0.0156723303546			
CAMTA1				-0.0134184615282		
CASP8AP2	-0.0154091072919			-0.0136785504575		-0.0144089375008
CBR3		-0.0256709089515			-0.0139486530116	-0.0270377279599
CBS		-0.0142369702895	-0.0130583201464	-0.013806058483		
CCDC109B					-0.0128041096503	
CCDC165	-0.0148064398308	-0.0177832161243			-0.0170432309499	
CCDC86					-0.0368819213342	
CCDC90A					-0.0141513680084	
CCDC92	-0.0217918237124	-0.0146295304611				
CCL18					-0.0128489185007	-0.0128360134139
CCL20		-0.0147003083032	-0.0211638727796		-0.014667585334	
CCL4				-0.015650838518		
CCNE2		-0.019551975942	-0.0177526471082	-0.0157890243953		-0.0289916931184
CCNG1						-0.0126704231188
CCP110						-0.0156383674117
CD14				-0.0249432441599		
CD24			-0.0224371437735			-0.0205508658864
CD320				-0.0144549843001		
CD3EAP	-0.0142969997054					
CD48		-0.0148994597433				
CD52		-0.0123423333208				-0.0223344317269
CD55			-0.0153746704221			
CD69		-0.0173068330459				-0.0170456928682
CD8A				-0.0146145195		
CD9				-0.0127229106005		
CD93				-0.0132175126732		
CDA			-0.0235784642081	-0.0257241618203		
CDC45					-0.0152732671022	
CDC6			-0.0151959983143		-0.0134905978547	
CDC7					-0.016257088943	
CDCA4				-0.0199122368378		-0.0196108199434
CDH2				-0.0130515587984		
CDKN1A				-0.0140132271907		
CDKN1B	-0.0161456453893					
CDKN2AIP	-0.0137599734581					
CDR2L				-0.0160324691337		
CDT1						-0.0135691271159
CEACAM6		-0.0362086173445				-0.0196183083976
CEBPA						-0.0181469353843
CEP55		-0.0121305008897				
CEP70		-0.0181338640271				
CFD				-0.0173897905027		
CFI	-0.0156258845344					
CFP			-0.0135356997473	-0.0124840203385		
CGA			-0.0139906633029			
CHL1	-0.0222395256396					
CHPT1	-0.0213712021624				-0.0237603166208	
CHRNA5		-0.0128671420341		-0.014211939768		
CHST15					-0.0236831633624	
CHSY1			-0.0176146727386			-0.0127301377783
CIT	-0.0222848439162	-0.0207417656531	-0.0150522393549			
CITED2	-0.0296830422705					
CKAP4	-0.0148949580033					
CLC	-0.024544791593				-0.0166719114742	-0.0181443347839
CLDN8						-0.013484590206
CLEC1B	-0.0188028033251	-0.019755846709		-0.0135553531982		-0.0141948635079
CLEC2B		-0.0232388568513				-0.0149914804313
CLEC4A			-0.0136891997334			
CLEC5A		-0.0140266805397			-0.0232055348	
CLEC7A	-0.0190217091058					
CLIC2	-0.0177548805759					
CLIP2	-0.0145391797102		-0.014767886836			
CMPK1	-0.0156070931781				-0.0177899679817	
CMTM6	-0.0176283136574					
CNIH			-0.0130357590204			
CNN3					-0.02710007724	
CNPY4						-0.0130143021702
COG2		-0.0123377838638				
COL15A1					-0.0166181614104	
COLEC11		-0.014844020602				
COMMD3				-0.0128967266942		
CP					-0.0230313626176	
CPA3	-0.0154128761555					-0.0211877635443
CPB1		-0.0150123300026			-0.0263687296626	
CPEB3		-0.0134399428145				
CPS1				-0.0193311296718		
CPVL						-0.0130083407997
CREG1	-0.0159539757727			-0.0358821318594		-0.0129830513469
CRELD2	-0.0153705734787				-0.0167249848058	
CRHBP		-0.0197122005425				
CRISP3	-0.0271354702142	-0.0329755213785	-0.0187672084593		-0.0330795271337	-0.028954598906
CRISPLD2						-0.0164616633638
CRMP1			-0.014776074073			
CRNN		-0.0121510601029				-0.0128208841064
CRTC3		-0.0166127579843	-0.0200228444012	-0.0141787037976		
CSF2RB	-0.0154973819237					
CSRP1				-0.026505692376		
CST1					-0.0205990780015	
CST3				-0.0127473069678		
CST6	-0.0145692442897					
CST7						-0.0184349168139
CSTA	-0.0195669592707					
CTGF					-0.0157620660484	
CTSG				-0.0127977194856		
CTSH	-0.0215847619397	-0.0229677201372	-0.0175463167178			
CTSK	-0.0155635406078				-0.0208485396953	
CXADR						-0.0139673451637
CXCL1					-0.0128298123328	
CXCL10		-0.0171143229403		-0.0275925465915		
CXCL13				-0.0184867505539		
CXCL14			-0.0133145295981			-0.0178200992812
CXCL3		-0.015658314344			-0.0136321974688	
CXCL9				-0.0232322996915		
CXCR2						-0.016303650967
CXCR4		-0.0143388024247				
CXCR7					-0.0127170179197	
CYP1A1					-0.0187818469462	
CYP27A1		-0.0120246610254				
CYP4B1					-0.013112324033	
DAAM1						-0.0129367003403
DAB2					-0.0138638411307	-0.0125656881116
DCAF16		-0.0184507111523				
DCLRE1B			-0.0144217479531			
DCN						-0.0276052019391
DCP2						-0.0171532575654
DCX			-0.0145578256447			
DDAH1	-0.0189072210356				-0.0239641042151	-0.0162234273784
DDX21	-0.0155535182122					
DDX3Y		-0.0159358879956				
DEFB1		-0.017121000894	-0.025768932056	-0.0416499982499		-0.020245220109
DEK					-0.0147566323022	
DENND2D			-0.0177493480117			
DFNA5	-0.0146497708626	-0.0120668224143				
DHCR7						-0.0139361753128
DHTKD1		-0.0147129183261				
DIRAS3	-0.0153473640345				-0.0163687491605	-0.0136672839069
DKK1	-0.0160169082791					
DLD						-0.0301047683266
DMXL2			-0.0125654640907			
DNA2						-0.0141282175338
DNAJC12	-0.021287302769					-0.0139158274109
DNASE1L3						-0.0138308071633
DNMBP		-0.0150613380566	-0.0140505532925	-0.016100888151		
DOCK4	-0.0135201995213					
DOK5	-0.016244355633					
DPM3				-0.018583351605		
DPYD				-0.012552809365		
DSC1			-0.0125874585535			
DSG2					-0.0179004824925	
DSN1						-0.014868566279
DTL		-0.0158771052245	-0.012847286487			-0.0145247588467
DUOX2			-0.0126005027237			
DUSP22		-0.0137480101309				
DUSP5					-0.0128025411914	
DYNC2H1					-0.0136505044023	
DYNLT1	-0.0157665126831				-0.0197000439399	
E2F2	-0.0267304662455		-0.0155384464122	-0.0324574108523	-0.028220190258	
E2F8		-0.0131608330958				-0.0189356852035
EAPP				-0.0180031412656		
ECM1		-0.0325401551918				
EFEMP1	-0.0163862381684				-0.0173639745865	
EFHD1						-0.033077008044
EFHD2				-0.0126248893357		
EFNB2			-0.0239406149065			
EHHADH		-0.0145715020737				
EIF1AY		-0.0164069012024				
EIF2C2				-0.0125034665222		
EIF2S3				-0.0258588317354	-0.0142951682037	
ELANE				-0.0258244360456		
ELAVL3						-0.0126180005538
ELOVL2			-0.0137890765093			
EMP3		-0.0133880940372				
EMR1				-0.0209613316044		
EMR2		-0.0120368549629				
ENAH	-0.0236647476345	-0.0135980062141				
ENO3		-0.0144210859042		-0.0157211063025		
EPCAM					-0.0150676624649	-0.0288455477272
EPHX1		-0.0229972431385				
EPHX2					-0.0127615506053	
EPS8	-0.0141772237359				-0.0211445613119	
EREG	-0.0198961587298	-0.0195071801916		-0.0171990431689		
ERV3-2			-0.0128426393515			
ESD			-0.0139512238612			
ESRP1		-0.0158788903965				
EXO1			-0.0130959041259	-0.0178459741008		-0.0130452786088
EZH2	-0.0173317224515	-0.0196492005099	-0.019425856961	-0.0140771832764	-0.0223984600052	-0.0236661838583
F2R		-0.0124801981461				
F3	-0.0285236524767		-0.0264078178249			
F5			-0.0151450442631			
F8				-0.0137262424558		
F9			-0.01270287484			
FABP1		-0.0164248715832	-0.0195233850735			
FABP4					-0.0173597001816	
FADS1	-0.0135040355249			-0.014025501272		
FAM111A					-0.0164137438149	
FAM127B				-0.0179029423913		
FAM164A	-0.0135490634856					
FAM171A1					-0.0136649801212	
FAM178A						-0.0132400899809
FAM57A	-0.0155959462299				-0.014002610401	
FAM59A	-0.022099441262					
