	0.04	0.12	0.37	1.11	3.33	10.0
A2M		-0.0204916378946				
ABCA8			-0.0188818405238			
ABCD3				-0.0140879329342		
ABCE1						-0.0133414784617
ABCG2		-0.0181529848775			-0.0163608240527	
ABL1					-0.0148402687562	
ABP1	-0.0255266488439	-0.0291929719379		-0.0146886673453		
ACAT2					-0.0178365919444	
ACO1	-0.0156668707454					
ACOT13					-0.0174015824086	
ACOX2					-0.0187759936954	
ACP5					-0.015301376456	
ACSF2	-0.0178559716559					
ACSL4				-0.0149647359682		
ACSL5		-0.0155749051384				
ACTA1		-0.0167696741201				
ACTC1		-0.0220080181682				
ADAM9				-0.0161194699605		
ADAMDEC1	-0.016362926428					
ADD3				-0.0146640068576		
ADH1C	-0.0144165642443					
ADH5	-0.021012731332					
ADIPOQ				-0.0166623971139		
ADM				-0.0184387903359		
ADO			-0.0284556546347			
ADORA2B		-0.0201280691737	-0.0298983535203			
ADRM1						-0.0151340448621
AFP				-0.0225698773847		
AIM1		-0.0407958654315				
AIM2	-0.0142755835995					
AKIRIN1					-0.0150847139072	
AKR1B1	-0.0194297203169					
AKR1B10	-0.017265265378					
AKR1C2				-0.0146507245894		
AKR1C3	-0.0153292344573					
AKR7A2						-0.0160528648792
ALAS1	-0.0140183798718					
ALAS2		-0.0148298055696				
ALDH18A1						-0.0130705067943
ALDH1A1					-0.0156237363409	
ALDH2	-0.0160640623219					-0.0134689017676
ALDH3A2					-0.0189069579379	
ALDOA						-0.0188207545238
ALDOC			-0.0157709821611			
ALG8				-0.0143036357202		
ALOX5AP		-0.0145528739569				
AMD1	-0.0165736399343		-0.0237368531434	-0.0244751461767	-0.0213637293545	-0.0152705159333
AMIGO2	-0.0396137955658					
ANG			-0.0151071398865			
ANGPT1	-0.0172896638353				-0.0155731752869	
ANGPTL4	-0.0153378219433					
ANKHD1					-0.0145939560809	-0.0153229849799
ANKRD57	-0.0185537075585					
ANP32B						-0.0131833976269
ANXA1				-0.0238744796026	-0.0239755044102	-0.0130623897599
ANXA6					-0.0184800873676	
AP1S1					-0.0172496066192	-0.0159752508895
APH1A				-0.0191457926812		
APLNR	-0.0142891369575					
APOA2				-0.019912968594		
APOB				-0.0147747245937		
APOBEC3B				-0.0166780019465	-0.016572020748	
APOO					-0.0163202984461	
AQP9			-0.0202985303339			
ARF4				-0.0156437449113		
ARG1			-0.0165492273875			
ARHGAP29					-0.0209267468967	
ARHGEF3				-0.0146180994798		
ARID5B	-0.0147137311448					
ARMCX2		-0.0173013391976				
ARPC5L					-0.0170070650668	-0.0185615131528
ARPP21	-0.0196623360703		-0.0162827869747			
ASF1A			-0.017124231323			
ASF1B						-0.0148755988197
ASNS		-0.028437026792		-0.0212415733328		
ASPN	-0.0156282263805					
ASS1		-0.0300953463279				
ASTN2				-0.015301725693		
ATF3	-0.0235441204328			-0.022020093805		
ATG7			-0.0162273725216			
ATHL1	-0.0152027257872					
ATP13A2						-0.0130903107768
ATP1B1				-0.017417980928	-0.0217973481212	-0.0245659997647
ATP2A1		-0.0165369643145				
ATP5J2		-0.0187518669689				
ATP6V1G1				-0.0222459146291		
AURKAIP1						-0.0153033703888
AZGP1				-0.0266588932731		
AZU1			-0.0195504438626			
BAD	-0.0137676927831					
BAG2					-0.0233741799806	-0.0142634837259
BAG3	-0.0434969205478					
BAHCC1			-0.0160241979429			
BANF1	-0.0155130880755					
BASP1		-0.0357706339701			-0.0179785527856	
BCHE			-0.0168655902793			
BCL2A1			-0.0207597779921			
BET1		-0.0162691678432				
BEX1			-0.0303930286371			
BEX4	-0.0222147226772					
BLMH				-0.0141508952879	-0.0293402782133	-0.0297189630733
BLNK		-0.0145986489159				
BLVRB	-0.0163922635415					
BMI1					-0.0143628725998	-0.0131168336689
BMP2	-0.0197978842538			-0.027050772828	-0.017343180493	
BMX		-0.015204515339				
BPGM				-0.0147238734892		
BPIFA1			-0.0172226808284		-0.0145044073712	
BSG					-0.0156327841669	
BST2						-0.0255951308702
BTBD3			-0.0272799465469			
BYSL						-0.0140227394435
BZW2						-0.0130156937549
C11ORF57				-0.0140716632878		
C11ORF58				-0.0161354817497		
C13ORF15		-0.0361610374565				
C16ORF53						-0.014932431838
C16ORF61				-0.0150528004412		
C17ORF81		-0.0159720962232				
C1ORF54				-0.0143317811772		
C1QA	-0.0416359913547		-0.0158178784354			
C1QB	-0.0303316715487					
C20ORF103						-0.0254810178551
C20ORF24			-0.014991667017			
C21ORF59					-0.0173418512615	
C4ORF27	-0.0145362697795					
C7			-0.0172216587154			
C7ORF68	-0.0162866955147					
C8ORF33				-0.0190052430432	-0.0154793286864	
C8ORF4	-0.0225185500326		-0.0174130606	-0.0144557759422		
CA2		-0.0427862542502	-0.0260560171598			
CA3		-0.0153694071553				
CA9			-0.0182380163622			
CACNA2D2			-0.0165784403917		-0.01605557278	
CADM1	-0.0234950537382					-0.0168713563837
CALB1		-0.0152843882058				
CAMK2N1				-0.014568471869		
CAMP						-0.0189098045256
CAP2				-0.0148359906208		
CAPG		-0.029193927172				
CAPRIN1						-0.0165383940252
CARM1					-0.0152729886352	-0.0181351590584
CASD1	-0.0161257599106					
CASP3	-0.028256745001			-0.0170967407944		
CCDC165			-0.0156038936593			
CCDC56		-0.0191559048443				
CCK				-0.0177531652394		
CCL18	-0.0168492839941				-0.0171152523348	
CCL20			-0.0162786000828	-0.0215344792148		
CCL4	-0.0253087367689		-0.019705019148			
CCL8	-0.0186488326925					-0.014344278476
CCNA2						-0.0150132941568
CCNC				-0.0184950657813		
CCNE1						-0.0176533065129
CCNL1			-0.0176304870101			
CCT4					-0.0148857787203	-0.0175598242521
CCT5					-0.0143946011306	-0.0147062975955
CCT7					-0.0151508518387	-0.0135955326282
CD177	-0.0150883792273					
CD19			-0.0181115472125			
CD1B			-0.0158473518812			
CD1E			-0.0155736779887			
CD2	-0.0245268768063					
CD24		-0.0168297194868				
CD3D	-0.0165892264508					
CD48	-0.0204170125465					
CD52					-0.0153652577805	
CD81			-0.0209872343993			
CD9				-0.0150690374489		
CD97	-0.0205288774956		-0.0154758172369			
CDA						-0.0205058797743
CDC20					-0.0158313267043	-0.0187499172197
CDC23		-0.015865310739				
CDC25B				-0.0401093326609		
CDC37L1				-0.0142737162624		
CDC6						-0.017359288406
CDCA3						-0.0174289111099
CDCA4			-0.0184301565444			
CDK6						-0.0161329395786
CDKN3						-0.0146728005118
CDO1			-0.018155579975			
CDR1				-0.0171911814175		
CEACAM6			-0.0297305461737			
CEBPG				-0.0148821101507	-0.019361389785	
CECR1		-0.0278395396319				
CES1			-0.0190468915279			
CFH	-0.014488688202		-0.018325692657			
CGA	-0.0165407619325				-0.0343163105661	
CHAC1					-0.0154207878869	
CHFR		-0.0159386551227				
CHI3L2			-0.033640745748	-0.0266392677599	-0.0228982846641	
CHRNA9					-0.0160614816686	
CHST2		-0.0211348758018	-0.0200946824817			
CIDEC	-0.0148785159188					
CKAP4		-0.0190356792422				
CKB			-0.0211047771624		-0.0261102841894	
CKM		-0.030485559967				
CKS2				-0.0291871823317		
CLDN10					-0.0168076771362	
CLDND1			-0.0181354470767			
CLEC10A	-0.0194800692611					
CLEC2B	-0.0245855357872			-0.0248569180538		
CLEC5A		-0.0160463578174	-0.0152226683283			
CLGN				-0.0178169752297		
CLIC1					-0.0166479715705	
CLIC2	-0.0201851958415					
CLIC3	-0.0197244415901	-0.0161336042319				-0.0130159394441
CNBP	-0.0144453497425			-0.0140652630192		
CNDP2		-0.014838552594	-0.0216217674858			
CNIH		-0.0156468858839				
CNN3	-0.0229590357687				-0.0183542370189	
CNPY3	-0.026605024615		-0.021736625481			
COBL					-0.0161097725855	
COG2		-0.0172318012645				
COL1A2		-0.0184088700853	-0.0212100226597	-0.0233617756505		
COL21A1		-0.0192078238852				
COL3A1	-0.0186027354711	-0.0209948640656		-0.0303273492777	-0.0228563840141	
COL4A5	-0.0246741247725					
COL5A2				-0.0165182927735		
COL6A3	-0.0153518042922	-0.0178856731805		-0.020147393707		
COL7A1	-0.0149152859611					
COLEC12		-0.0155654756149				
COMP	-0.0157196653917					
COPS3					-0.0160927652295	
COPS5				-0.0208664595452		
COQ4		-0.0159204178724				
CORO1A	-0.0164543317072					
CORO1C						-0.019160551427
COTL1				-0.0196241141973	-0.0190768614822	
COX6B1					-0.0149580906479	
CP			-0.0164878432868			
CPA3	-0.024092006531		-0.0247097931104	-0.0202606790552	-0.0187890836355	
CPE	-0.0208993631921			-0.0230943595548		
CRABP1			-0.0189395001491			
CRBN	-0.0141762680593					
CREB1		-0.0152705532382				
CRIP1					-0.0252880835294	
CRISPLD2		-0.0154846392726				
CRLF1					-0.0152421170744	
CRTAP						-0.0155918474366
CRY1				-0.0179434168608	-0.0156621119283	-0.0137459216826
