	0.04	0.12	0.37	1.11	3.33	10.0
A2M				0.0196315109015		
AAK1			0.0192021747236			
ABAT				0.0215099462413		0.0201384962458
ABCA12					0.0191255909048	
ABCA8			0.0224261625175		0.0241607587394	
ABCB1	0.0179839479311					
ABCC4				0.0184348873349		
ABHD4			0.0188324272943			
ABHD6					0.0415096260832	
ACAT2				0.0223700801906		
ACOX2						0.0185199132456
ACP5				0.0201244289718		
ACPP		0.0186710815818		0.0234767139139		
ACTG2			0.0239378982683			
ACTN1		0.0241367668416				
ADAM28			0.023103805123			
ADAMTS1		0.0279204338309	0.0199205368852		0.0197335159989	
ADCY2				0.0197524771997		
ADI1		0.0189965764082				
ADO		0.0332490957451				
AGER	0.021474868116					
AGT	0.020793722385					
AGTR1						0.0251581174306
AHNAK			0.0188645799608			
AHNAK2		0.0187417180645				
AHSG						0.0217100594449
AHSP		0.0255987468139				
AK1			0.0209769244099			
AK4	0.0293382835209					
AK5					0.0172806704809	
AKAP1						0.0219139347368
AKR1B10				0.0231948377394	0.0260751544261	
AKR1C1						0.0215640427727
AKR1C2						0.0226919883913
ALAS2		0.0202026477431				
ALB	0.0189896025985					0.0216219333545
ALCAM	0.0218207863255					
ALDH1A1	0.0314328087453		0.0377712682885	0.0188376555173	0.0274167442813	0.0195209336453
ALDH1A2					0.0203406586551	
ALDH2					0.0230909314293	
AMD1					0.0201962642343	
AMDHD2		0.034049540849		0.0203944859339		
AMMECR1		0.018755175021				
AMPH	0.0173921279371					
ANGPT1			0.0205758356666			0.0319829798896
ANK3					0.030975264332	
ANKRD12				0.0201521180204		
ANO10			0.0321626499007			
ANXA1			0.0232030435929			
ANXA2			0.0273229001822			
AP1M2			0.0186402128602			
AP1S2					0.022853983234	
APOA2						0.0259330421226
APOB						0.0275012760152
APOBEC3G				0.0203325821466		
APOC1	0.0177137438537					
APOC3						0.0183083406072
APOE	0.0177091931256			0.0199375223411		
APOH						0.021261366873
APOL1		0.0195813758673				
AQP3			0.0208233959269			
ARCN1				0.0197725219868		
AREG	0.01872607831					
ARHGAP44	0.026844753475					
ARHGEF4					0.0181955726813	
ARMCX1	0.0180274526686				0.032585790187	
ARPC2	0.0174927429548					
ARPP19		0.0290924011402		0.0306045337197		0.0178365630471
ARTN	0.0201506984438					
ASB9			0.0187358911016			
ASPA					0.0265492397787	
ASS1	0.0236532926768	0.0322230701166				
ATM				0.0176535229372		
ATP11B					0.0414120810106	
ATP1A1						0.0273664065375
ATP1B1	0.0272213918348					0.0230861138721
ATP1B3	0.0184777011581					
ATP2B1					0.0181953495033	
ATP5S			0.0191030824205			
ATP8A1					0.0195977225498	
ATP8B4	0.017299134001					
ATXN2				0.0201556103611		
ATXN7L3B					0.0175030193883	
AZI2					0.0172989036215	
AZU1					0.0198065087483	
BASP1						0.0202765466891
BCAT1			0.0229856477657			
BCHE				0.0178951941962		0.02235097334
BCL2A1				0.0183081728782		
BCL7B				0.0184232374046		
BEX1	0.03844282114				0.0518069306625	0.0268129799812
BHLHE41			0.0364041511098			
BID						0.021819019822
BLNK				0.017532687389		
BMP2						0.0216880699093
BMP4	0.0401277707849					
BPGM		0.0223187638964				
BSCL2			0.0206927088446			
BTG2	0.0173443209735				0.0295794905677	0.0239171634922
C10ORF10		0.0218628357495				
C1ORF116			0.0198047094155			
C1ORF63		0.0185382139838				
C1QTNF3				0.0235938095718		
C1RL			0.0185608599378			
C20ORF103	0.0434846824053	0.0335613837557	0.0331767606191	0.0215259211819	0.0373524388833	0.0174882378635
C5ORF13		0.0239255171074			0.0287568345277	
C6ORF62				0.017979293981		
C7	0.0255061949256					
C8ORF4			0.0274973854522	0.0248362262292		0.0178591233689
C9ORF46				0.0203211038771		
CA1	0.024959913824	0.0240696655248				
CA12						0.0294885842114
CA2		0.0318691092245				
CA4	0.0183115750148					
CADM1	0.0336854495084		0.0268935009186		0.0336186493874	
CALB1	0.0217257191338			0.0267095554087		0.0190051441408
CALD1	0.0235344944441	0.0253067085697	0.025208337785		0.0182435645139	
CALM1	0.0186802186619					
CAMK2G						0.0184208223088
CAMK2N1	0.0327453107849			0.0290983568156		
CAMP				0.0230562604877		
CAP2	0.0231247991893					0.0225683888861
CAPN3				0.0175400736865		
CCDC92					0.0306462596941	
CCK	0.0221140788684				0.0306049515343	0.0295006473291
CCL19	0.0210683363133					
CCL2	0.0334054901669		0.0313104258958			
CCL21	0.0184035968879					
CCL5		0.0237430519376				
CCNB1	0.0270797326728			0.022177594158	0.0220387776489	0.0355773594688
CCNB2	0.0269127045723	0.0291535218936	0.0256976970451	0.0185107949853		
CCND2				0.02461001675		
CCR2					0.0178053586542	
CD177	0.0194586486476					
CD1C				0.0214896553331		
CD200	0.0340637995251					
CD22					0.0172992043159	
CD36		0.0226203094659			0.0180599310103	
CD38			0.0222943742048			
CD40		0.0187298893074		0.0191678628474		0.0219331402935
CD52				0.0191935055265		
CD59						0.025233174273
CD8A	0.0355534055266	0.0295220456099				
CD8B	0.024336756893					
CD93	0.0259233659083					
CD96		0.0196087912734				
CD97						0.0221232636024
CDC42BPA	0.0173300702975					
CDH1	0.0208064903482	0.0335629349805			0.0241879603711	0.028430495461
CDH11		0.0196354252386		0.0198626306756		
CDH3	0.0242354815982				0.0223852189016	
CDH5	0.0195781038878					
CDK17				0.0175972045532		
CDK19		0.0413037400015			0.0411061186827	
CDKN2A			0.025509349498			0.0190058503752
CDSN					0.0216216201966	
CEACAM5				0.0232531860406		
CES1	0.0238719346686		0.022021580932		0.0208070429448	
CFH			0.020057095958			
CHAC1					0.0292234897872	
CHFR				0.0184028324325	0.0183702984761	
CHGA	0.0225135285907					0.0177860604831
CHGB	0.0391604482153	0.0350578510932	0.0307895420556			0.0276631019513
CHIC2					0.0190808936007	
CHMP6					0.0402832177342	
CHN1		0.0472243350974	0.0194527713859			0.0190601396801
CHRDL1	0.0254154239522	0.035152936293	0.0359901211291	0.0180541619725		0.0265104877126
CHRNA3						0.0239143923488
CHRNA9					0.019209749636	
CHST2		0.0360784950892				0.0235413195317
CIB1						0.0185668195169
CILP				0.0213952868569		
CITED2			0.0190573902487			
CKAP4				0.0213988220032		
CLEC11A			0.0188542884165		0.0204153733222	
CLIC5	0.0199111755978					
CLN5			0.0190789761892			
CLTB				0.0176253224563		0.0295803354781
CLU	0.0245679193741					
CMAS			0.01914531594			
CNPY3			0.0244845662861			
CNTN1	0.0180112066747					
CNTNAP2				0.0215910728182		
COCH	0.0253711929488					
COG5				0.0263706310132		
COG7					0.0173242800332	
COL10A1		0.0271786574475		0.0201664140623		
COL14A1			0.0210802060727			
COL18A1	0.018641783954					
COL1A1				0.0355434137805		
COL1A2			0.022301510286	0.0184980115222		
COL4A5					0.0304005964344	0.0258357188398
COL5A2		0.0219063002148	0.0259400283087	0.0264676293737		
COL6A2				0.0218130318644		
COL6A3		0.028421970221				
COL8A2		0.0212977369725	0.0189410953146	0.0193787030622		
COL9A3	0.0195324863477	0.0326476834561				
COLEC12				0.0245672371241		
COMP		0.0235085229618	0.027011053535	0.0289905296657		
COMT						0.0178750327646
CORO2A				0.0184206635909		
COX7A1					0.018559951017	
CPE	0.0207823855023	0.0215856546338		0.0214588125349		
CPVL		0.0205205718696				
CRABP1	0.0300949566647	0.0237543673564	0.0254075191753		0.0192813610927	0.0181704921922
CREB3L1				0.02151150219		
CREM				0.0184692031249		
CRIP1			0.0204509282576			
CRYAB			0.0319746491315			
CSGALNACT1		0.0201909799233	0.0266859636508			
CST3					0.0291840460016	
CST6			0.0193178618353			
CSTA		0.0270122796817				
CTGF			0.0190030632768			
CTSB	0.0190842699701					
CTSC				0.0176978357325		
CTSE				0.0201198341426		0.0196011106578
CTSG					0.0207898891551	
CUX2	0.018022693947					
CX3CL1					0.0190752577723	
CX3CR1		0.025401091258			0.0268025462376	
CXADR			0.024264996116			
CXCL12		0.0227150397593			0.0182531847639	
CXCL13		0.0217070922461				
CXCL14				0.0416092109691		
CXCL2						0.0207757407416
CXCL5						0.02198479958
CXCR4						0.0329085566905
CXCR7						0.0227449996678
CYBA					0.0207206872241	
CYCS		0.0206472111064			0.0204098102011	
CYP1B1		0.0241747705488				
CYP2B7P1						0.0173456284184
CYP2E1				0.0199974774203		
CYR61			0.0249653232744			
D4S234E	0.0308432679879				0.022210336316	0.0210255137682
DAB2				0.0221951869982		
DARC	0.0236653947181					
DCHS1				0.020744068484		
DCLK1	0.0174519295114	0.0226337791405				
DDIT4						0.0184644718622
DDX10		0.0233113359652	0.0235151317345			
DDX17						0.017579352049
DDX3X		0.0202443378988				
DEFB4A					0.0217237386639	
DENND2D				0.0202393490697		
DENR				0.0204550274586		
DEPTOR			0.0294520035787		0.0191596017511	
DES			0.0256675105595			
DGKA						0.0213731664504
DHCR24		0.0253544381301				
DHRS2					0.0191429161291	0.0204875303115
DHRS3			0.0202606613215			
DIXDC1						0.0182549341476
DKK2					0.0257808968976	
DKK3			0.0203896961587	0.0289677863538		
DLC1			0.0261644189133			
DLK1	0.0220811700502	0.025670646969	0.0231098483606	0.0238768211377	0.0229175722431	
DMD						0.0221940935693
DMTF1	0.018307968884					
DNAJC12		0.0230718957967				
DPP4		0.0194460215161		0.0257413202623		0.0232782870025
DSC1					0.0178628991116	
DSG3						0.0183743724887
DSP	0.0327122585817					
DST		0.0227152552877				
DUSP2		0.0273573325708				
DUSP3	0.0240673285832					
DUT		0.0191060176867				
E2F2		0.0277993082072				0.0176088993655
EAF2			0.0242505842788			
EAPP	0.0404709997703					
ECD					0.0182634180302	
ECM1				0.0179465293694		
EDEM1					0.0210855293428	
EDN1					0.017764341689	0.0199739173659
EDN3			0.0200745835733			
EDNRA				0.0253403092844		
EDNRB	0.0287827726846	0.0270262244184				0.0308762382057
EEF1A2	0.0223451667706	0.0464240191031			0.018163105332	0.0219725017251
EFNA1		0.0187777130725				
EFNA5					0.0173935248464	
EFNB2					0.0338293124809	
EGFR				0.0190449087919		
EGLN3					0.0185156001485	
EGR2		0.0275008695888				
EGR3		0.0269119240262			0.0372245618062	
EIF1AX						0.0192670770167
EIF1AY				0.019772340042		
EIF5A			0.0205120982663			
ELF1						0.0185987932227
ELOVL1		0.0208234859288				
EMILIN1				0.0208632402904		
EMX2				0.0239446212202	0.0195024686274	
ENC1	0.0216516261214				0.0231605582322	
ENPP1	0.0232538341937		0.0233327483356			
ENPP2		0.0240474819834	0.0262895047167	0.0375741291646		
ENTPD3						0.0188241427082
EPAS1	0.0198764769514					
EPHA3			0.0210082202505			
EPHA4					0.0265739135595	
EPN2						0.0226593410332
ESR1	0.0181718977734					
ETNK1		0.027922784607	0.0232923392447	0.0250626341814		
ETS2						0.0202031708076
ETV1		0.0307034401681				
EXOSC4						0.024083812489
EYA1					0.0260122666688	0.0291562011612
EZR				0.0208082024859		
F11R				0.0184233611317		
F2RL1				0.023711501254	0.0184902238705	0.0246400734952
FABP4		0.0301729280485	0.0399380632392			
FAM107A	0.019753741563				0.0241706738434	
FAM108A1					0.0179270404862	
FAM162A				0.0180994365864		
FAM60A						0.0180142800064
FAM63A						0.0210544443391
FARP1				0.0261024934867		
FBLN1						0.0212384641673
FBN1		0.0243901829091	0.0223429150346	0.0223459412	0.0180050620457	
