	gene_symbol	0.37
204812_at	ZW10	2.47238902977e-08
202297_s_at	RER1	3.10186096003e-08
220569_at	-666	1.2940780924e-07
217452_s_at	B3GALT2	-4.68203803986e-07
220354_at	MCF2L-AS1	-4.96702228238e-07
206050_s_at	RNH1	-5.03208191461e-07
200966_x_at	ALDOA	5.64679740028e-07
212640_at	PTPLB	1.18692324114e-06
220433_at	PRRG3	1.38489377931e-06
214441_at	STX6	1.52163698528e-06
219213_at	JAM2	-1.60423643937e-06
217636_at	POLG	-1.86288034202e-06
219123_at	ZNF232	2.82368672467e-06
214928_at	OBSL1	3.30070877627e-06
212978_at	LRRC8B	3.69955270226e-06
217641_at	GPR135	-3.74640735897e-06
206909_at	-666	-4.17432477781e-06
216708_x_at	-666	-4.45743626513e-06
219211_at	USP18	-4.79777591281e-06
215955_x_at	ARHGAP26	-4.84794868956e-06
219299_at	TRMT12	4.93965328895e-06
215586_at	-666	4.97426795174e-06
207984_s_at	MPP2	5.07115543132e-06
208098_at	-666	5.24206895754e-06
211097_s_at	PBX2	-5.45582435738e-06
207128_s_at	ZNF223	-5.84896984093e-06
208930_s_at	ILF3	6.47272139607e-06
208086_s_at	DMD	6.85572403034e-06
203750_s_at	RARA	6.89744145575e-06
205319_at	PSCA	7.00096344552e-06
65585_at	FAM86B1	7.1521510434e-06
201589_at	SMC1A	-7.24219933394e-06
218023_s_at	FAM53C	-7.42605337815e-06
212115_at	HN1L	-7.606905625e-06
214147_at	HEATR8	7.67118344e-06
210873_x_at	APOBEC3A	7.7667531633e-06
217237_at	-666	8.36514822445e-06
215463_at	OR7E24	8.6332767525e-06
207365_x_at	USP34	8.99407946067e-06
215763_at	-666	9.20702973653e-06
215478_at	RIMS2	9.26509915155e-06
217269_s_at	TMPRSS15	-9.66384478365e-06
211196_at	DBT	-9.81270787998e-06
202888_s_at	ANPEP	-1.01223947194e-05
65770_at	RHOT2	-1.05129672344e-05
216322_at	CD58	1.05788130793e-05
215286_s_at	PHTF2	-1.11682012495e-05
213955_at	MYOZ3	1.12242694392e-05
212539_at	CHD1L	1.12984022612e-05
39313_at	WNK1	-1.14660184617e-05
217663_at	ZNF234	-1.16701516509e-05
200757_s_at	CALU	1.2652409436e-05
204373_s_at	CEP350	1.29373715739e-05
217144_at	UBB	-1.3234229866e-05
203371_s_at	NDUFB3	1.34093254527e-05
207312_at	PHKG1	1.34813373381e-05
219319_at	HIF3A	-1.40272903328e-05
204134_at	PDE2A	-1.4325437899e-05
222195_s_at	C9ORF156	-1.4360086469e-05
221827_at	RBCK1	1.43778770856e-05
216972_at	SPAM1	1.48792780752e-05
220031_at	OTUD7B	1.55871550056e-05
221772_s_at	PPP2R2D	-1.57692334176e-05
210353_s_at	SLC6A2	1.65188349821e-05
217158_at	-666	-1.66599871076e-05
207037_at	TNFRSF11A	-1.66993710107e-05
203159_at	GLS	-1.70255642587e-05
210142_x_at	FLOT1	-1.70639213375e-05
217792_at	SNX5	-1.70906476773e-05
208162_s_at	-666	1.72327504263e-05
214655_at	GPR6	1.73228302341e-05
214034_at	ERAP1	1.73801640749e-05
202092_s_at	ARL2BP	-1.79602431443e-05
209031_at	CADM1	-1.86906596476e-05
214444_s_at	PVR	1.87863623581e-05
216537_s_at	SIGLEC7	1.93837158211e-05
66053_at	HNRNPUL2	1.95605093445e-05
210448_s_at	P2RX5	1.96964079226e-05
208456_s_at	RRAS2	-1.9701524487e-05
203633_at	CPT1A	-2.07160883123e-05
201903_at	UQCRC1	-2.09127100363e-05
201188_s_at	ITPR3	-2.13036544111e-05
215588_x_at	RIOK3	2.1420683601e-05
206729_at	TNFRSF8	-2.17570772799e-05
212676_at	NF1	-2.23102897961e-05
