	gene_symbol	0.04
217263_x_at	RUNX1	2.6964674157e-08
216991_at	ZNF224	-9.91241905352e-08
210932_s_at	RNF6	3.34251887196e-07
207772_s_at	PRMT8	7.07460942007e-07
222272_x_at	SCIN	8.31201392384e-07
216182_at	SYNJ2	1.35977096395e-06
214229_at	DNAH17	-1.39651330518e-06
217588_at	-666	-1.53068640954e-06
211188_at	CD84	1.60589135637e-06
221248_s_at	WHSC1L1	1.69777196569e-06
211249_at	GPR68	-1.74350982035e-06
212680_x_at	PPP1R14B	-1.80838875613e-06
214993_at	ASPHD1	-1.82228867961e-06
214763_at	ACOT11	-1.82632170153e-06
221001_at	-666	-1.9762568859e-06
216575_at	-666	2.77828146136e-06
219908_at	DKK2	-3.2001597833e-06
208222_at	ACVR1B	-3.52336230744e-06
217426_at	-666	3.6276122711e-06
212933_x_at	RPL13	3.64803428523e-06
213660_s_at	TOP3B	-3.65371054059e-06
211774_s_at	MMACHC	-3.68945418391e-06
207728_at	ATF7IP	4.18620282221e-06
203690_at	TUBGCP3	-4.49482760805e-06
221475_s_at	RPL15	4.651574487e-06
216589_at	-666	5.32429383251e-06
216499_at	-666	-5.40243825316e-06
200070_at	CNPPD1	-5.52008985747e-06
211374_x_at	-666	5.60489582441e-06
210348_at	SEPT4	5.66829980552e-06
207731_at	-666	-5.68109065581e-06
221709_s_at	ZNF839	6.26673112223e-06
215873_x_at	ABCC10	-6.47332530352e-06
220900_at	-666	6.64168929706e-06
221526_x_at	PARD3	-7.01464902426e-06
217387_at	CAPN6	7.54484331419e-06
201374_x_at	PPP2CB	-7.82634264769e-06
221599_at	C11ORF67	7.92696283853e-06
217440_at	-666	-7.93193397174e-06
215094_at	SPICE1	-8.05336584617e-06
205169_at	RBBP5	-8.44912861578e-06
213962_s_at	ANKLE2	8.70714627488e-06
215569_at	-666	8.90185491082e-06
208251_at	KCNC4	-9.29469099641e-06
41113_at	ZNF500	9.3462246206e-06
210205_at	B3GALT4	9.50158328028e-06
215120_s_at	SAMD4A	9.58479800094e-06
216355_at	-666	9.77164066441e-06
212268_at	SERPINB1	9.79155934416e-06
204723_at	SCN3B	9.80132155446e-06
221818_at	INTS5	-9.81997392509e-06
214318_s_at	FRY	-9.97836223309e-06
206989_s_at	SCAF11	-1.05941605661e-05
201168_x_at	ARHGDIA	-1.16149677592e-05
217573_at	GRIN2C	-1.17745091176e-05
222299_x_at	-666	-1.19045606132e-05
200656_s_at	P4HB	-1.34590156953e-05
217625_x_at	-666	-1.37052527627e-05
214794_at	PA2G4	1.39021544681e-05
200676_s_at	UBE2L3	-1.39760491987e-05
207588_at	-666	1.4124876015e-05
203640_at	MBNL2	1.41766771434e-05
200619_at	SF3B2	1.44888214301e-05
200605_s_at	PRKAR1A	-1.45323595396e-05
211142_x_at	HLA-DOA	1.47338512502e-05
220546_at	MLL	1.5460479956e-05
213261_at	TRANK1	-1.6048148341e-05
210886_x_at	TP53TG1	1.62699612461e-05
217235_x_at	-666	1.63719808445e-05
222121_at	ARHGEF26	-1.6906536661e-05
206974_at	CXCR6	1.7629625762e-05
207906_at	IL3	-1.76604943765e-05
210741_at	ARHGEF12	1.83336775703e-05
214430_at	GLA	1.87515407584e-05
206973_at	PPFIA2	-1.87520374996e-05
214200_s_at	COL6A1	-1.88324335601e-05
207729_at	CDH9	-1.9345259778e-05
206770_s_at	SLC35A3	-1.99873532102e-05
215422_at	-666	2.00792968696e-05
207617_at	DDX3X	-2.03538672878e-05
211255_x_at	DEDD	2.04924489253e-05
221471_at	SERINC3	-2.05061781719e-05
204564_at	PCGF3	2.12384503437e-05
207320_x_at	STAU1	2.14232889587e-05
210496_at	NAG18	-2.17707467373e-05
203902_at	HEPH	-2.18451361603e-05
218823_s_at	KCTD9	-2.23316464745e-05
208641_s_at	RAC1	-2.31345530886e-05
206037_at	CCBL1	2.34377124086e-05
214659_x_at	YLPM1	2.35524099722e-05
201205_at	-666	-2.37486852609e-05
221312_at	GLP2R	2.3889653314e-05
220983_s_at	SPRY4	2.4093554383e-05
208556_at	GPR31	-2.4161279888e-05
217171_at	SMPD1	2.41632153151e-05
207114_at	LY6G6C	-2.45526383602e-05
207832_at	BAIAP2	-2.45660129469e-05
212553_at	RPRD2	2.49141597013e-05
222206_s_at	NCLN	2.49545786087e-05
214412_at	-666	-2.50068154356e-05
206639_x_at	HTN1	2.50123948637e-05
200628_s_at	WARS	2.52276019851e-05
205416_s_at	ATXN3	-2.53619667677e-05
211257_x_at	ZNF638	2.56349909733e-05
207270_x_at	CD300C	2.58039932922e-05
215250_at	TMEM111	2.6285911838e-05
209153_s_at	TCF3	-2.64172521886e-05
209332_s_at	MAX	2.65653707251e-05
215347_at	-666	-2.66246044812e-05
205219_s_at	GALK2	-2.7915161247e-05
216818_s_at	OR2J2	2.79499678766e-05
207384_at	PGLYRP1	2.8359305185e-05
222240_s_at	ISYNA1	2.8379052346e-05
216773_at	-666	2.90283196639e-05
221940_at	RPUSD2	2.93640185536e-05
216653_at	DR1	2.94514039533e-05
201603_at	PPP1R12A	-2.99058642093e-05
208042_at	AGGF1	3.00255327603e-05
216303_s_at	MTMR1	3.04667857235e-05
216002_at	-666	-3.06714921069e-05
221534_at	C11ORF68	-3.0743993586e-05
215560_x_at	MTRF1L	-3.11255656748e-05
220847_x_at	ZNF221	-3.13876868476e-05
206992_s_at	ATP5S	3.13964471353e-05
207073_at	CDKL2	3.20928125443e-05
208643_s_at	XRCC5	3.24586795008e-05
209056_s_at	CDC5L	3.27078524467e-05
211059_s_at	GOLGA2	3.27378458553e-05
204577_s_at	CLUAP1	-3.27942465448e-05
210499_s_at	PQBP1	-3.28294431518e-05
218797_s_at	SIRT7	-3.30956656974e-05
52940_at	-666	3.36632316462e-05
215206_at	-666	3.40523066082e-05
206947_at	B3GALT5	3.45571546054e-05
205560_at	PCSK5	3.49484748782e-05
217623_at	MYLK3	3.51129089548e-05
215397_x_at	-666	-3.5292661883e-05
204618_s_at	GABPB1	-3.54231957504e-05
218475_at	TRMT2A	3.54268802649e-05
208882_s_at	UBR5	3.64283918029e-05
200918_s_at	SRPR	3.6839561577e-05
208947_s_at	UPF1	3.7060445299e-05
205402_x_at	PRSS2	3.71791558098e-05
203728_at	BAK1	3.73633661842e-05
203143_s_at	KIAA0040	-3.75958312773e-05
209767_s_at	-666	3.79821876343e-05
216660_at	MYO7B	-3.81097278876e-05
205478_at	PPP1R1A	-3.84321417127e-05
215491_at	MYCL1	3.85261557399e-05
205960_at	PDK4	-3.87504655218e-05
213495_s_at	-666	-3.87726683439e-05
219474_at	C3ORF52	-3.88355774145e-05
206629_at	ADAMTSL2	-3.93286007072e-05
220378_at	TCP11	4.00531472132e-05
221894_at	ADCK2	4.01675025806e-05
217460_at	TNP2	-4.09450589689e-05
214068_at	BEAN1	-4.10570112173e-05
211775_x_at	MGC13053	4.10901863365e-05
208013_s_at	ACRV1	4.13959373934e-05
213984_at	PDS5A	-4.14286616225e-05
220081_x_at	HSD17B7	4.15885508129e-05
210699_at	-666	-4.17228514284e-05
34478_at	RAB11B	4.2054087207e-05
221167_s_at	CCDC70	-4.22891040213e-05
202905_x_at	NBN	4.25423048607e-05
207653_at	FOXD2	4.25688013815e-05
217315_s_at	KLK13	-4.26866420836e-05
201452_at	RHEB	4.31785761111e-05
219318_x_at	MED31	4.35601247794e-05
208775_at	XPO1	4.39531590995e-05
217113_at	AMACR	-4.39774678853e-05
215981_at	-666	4.41719853797e-05
222246_at	-666	-4.42004381964e-05
