id	RN_Target_Gene_ID	SM_Center_Compound_ID	SM_Dose	SM_Dose_Unit	SM_LINCS_ID	SM_Name	SM_Pert_Type	SM_Time	SM_Time_Unit	det_plate	det_well
MCF10A-trt_cp-11772	-666	BRD-K85606544-001-08-3	10	um	BRD-K85606544	neratinib	trt_cp	24	h	LJP005_MCF10A_24H_X1_B17	A13
MCF10A-trt_cp-11773	-666	BRD-K85606544-001-08-3	3.33	um	BRD-K85606544	neratinib	trt_cp	24	h	LJP005_MCF10A_24H_X1_B17	A14
MCF10A-trt_cp-11774	-666	BRD-K85606544-001-08-3	1.11	um	BRD-K85606544	neratinib	trt_cp	24	h	LJP005_MCF10A_24H_X1_B17	A15
MCF10A-trt_cp-11775	-666	BRD-K85606544-001-08-3	0.37	um	BRD-K85606544	neratinib	trt_cp	24	h	LJP005_MCF10A_24H_X1_B17	A16
MCF10A-trt_cp-11776	-666	BRD-K85606544-001-08-3	0.12	um	BRD-K85606544	neratinib	trt_cp	24	h	LJP005_MCF10A_24H_X1_B17	A17
MCF10A-trt_cp-11777	-666	BRD-K85606544-001-08-3	0.04	um	BRD-K85606544	neratinib	trt_cp	24	h	LJP005_MCF10A_24H_X1_B17	A18
MCF10A-trt_cp-11827	-666	BRD-K49328571-001-11-9	10	um	BRD-K49328571	dasatinib	trt_cp	24	h	LJP005_MCF10A_24H_X1_B17	D01
MCF10A-trt_cp-11828	-666	BRD-K49328571-001-11-9	3.33	um	BRD-K49328571	dasatinib	trt_cp	24	h	LJP005_MCF10A_24H_X1_B17	D02
MCF10A-trt_cp-11829	-666	BRD-K49328571-001-11-9	1.11	um	BRD-K49328571	dasatinib	trt_cp	24	h	LJP005_MCF10A_24H_X1_B17	D03
MCF10A-trt_cp-11830	-666	BRD-K49328571-001-11-9	0.37	um	BRD-K49328571	dasatinib	trt_cp	24	h	LJP005_MCF10A_24H_X1_B17	D04
MCF10A-trt_cp-11831	-666	BRD-K49328571-001-11-9	0.04	um	BRD-K49328571	dasatinib	trt_cp	24	h	LJP005_MCF10A_24H_X1_B17	D06
MCF10A-trt_cp-12050	-666	BRD-K54997624-001-05-2	10	um	BRD-K54997624	alpelisib	trt_cp	24	h	LJP005_MCF10A_24H_X1_B17	N01
MCF10A-trt_cp-12051	-666	BRD-K54997624-001-05-2	3.33	um	BRD-K54997624	alpelisib	trt_cp	24	h	LJP005_MCF10A_24H_X1_B17	N02
MCF10A-trt_cp-12052	-666	BRD-K54997624-001-05-2	1.11	um	BRD-K54997624	alpelisib	trt_cp	24	h	LJP005_MCF10A_24H_X1_B17	N03
MCF10A-trt_cp-12053	-666	BRD-K54997624-001-05-2	0.37	um	BRD-K54997624	alpelisib	trt_cp	24	h	LJP005_MCF10A_24H_X1_B17	N04
MCF10A-trt_cp-12054	-666	BRD-K54997624-001-05-2	0.12	um	BRD-K54997624	alpelisib	trt_cp	24	h	LJP005_MCF10A_24H_X1_B17	N05
MCF10A-trt_cp-12055	-666	BRD-K54997624-001-05-2	0.04	um	BRD-K54997624	alpelisib	trt_cp	24	h	LJP005_MCF10A_24H_X1_B17	N06
MCF10A-trt_cp-12114	-666	BRD-K12343256-001-06-3	10	um	BRD-K12343256	trametinib	trt_cp	24	h	LJP005_MCF10A_24H_X1_B17	P19
MCF10A-trt_cp-12115	-666	BRD-K12343256-001-06-3	3.33	um	BRD-K12343256	trametinib	trt_cp	24	h	LJP005_MCF10A_24H_X1_B17	P20
MCF10A-trt_cp-12116	-666	BRD-K12343256-001-06-3	1.11	um	BRD-K12343256	trametinib	trt_cp	24	h	LJP005_MCF10A_24H_X1_B17	P21
MCF10A-trt_cp-12117	-666	BRD-K12343256-001-06-3	0.37	um	BRD-K12343256	trametinib	trt_cp	24	h	LJP005_MCF10A_24H_X1_B17	P22
MCF10A-trt_cp-12118	-666	BRD-K12343256-001-06-3	0.04	um	BRD-K12343256	trametinib	trt_cp	24	h	LJP005_MCF10A_24H_X1_B17	P24
MCF10A-trt_cp-12128	-666	BRD-K85606544-001-08-3	10	um	BRD-K85606544	neratinib	trt_cp	24	h	LJP005_MCF10A_24H_X2_B17	A13
MCF10A-trt_cp-12129	-666	BRD-K85606544-001-08-3	3.33	um	BRD-K85606544	neratinib	trt_cp	24	h	LJP005_MCF10A_24H_X2_B17	A14
MCF10A-trt_cp-12130	-666	BRD-K85606544-001-08-3	1.11	um	BRD-K85606544	neratinib	trt_cp	24	h	LJP005_MCF10A_24H_X2_B17	A15
MCF10A-trt_cp-12131	-666	BRD-K85606544-001-08-3	0.12	um	BRD-K85606544	neratinib	trt_cp	24	h	LJP005_MCF10A_24H_X2_B17	A17
MCF10A-trt_cp-12132	-666	BRD-K85606544-001-08-3	0.04	um	BRD-K85606544	neratinib	trt_cp	24	h	LJP005_MCF10A_24H_X2_B17	A18
MCF10A-trt_cp-12183	-666	BRD-K49328571-001-11-9	10	um	BRD-K49328571	dasatinib	trt_cp	24	h	LJP005_MCF10A_24H_X2_B17	D01
MCF10A-trt_cp-12184	-666	BRD-K49328571-001-11-9	3.33	um	BRD-K49328571	dasatinib	trt_cp	24	h	LJP005_MCF10A_24H_X2_B17	D02
MCF10A-trt_cp-12185	-666	BRD-K49328571-001-11-9	1.11	um	BRD-K49328571	dasatinib	trt_cp	24	h	LJP005_MCF10A_24H_X2_B17	D03
MCF10A-trt_cp-12186	-666	BRD-K49328571-001-11-9	0.37	um	BRD-K49328571	dasatinib	trt_cp	24	h	LJP005_MCF10A_24H_X2_B17	D04
MCF10A-trt_cp-12187	-666	BRD-K49328571-001-11-9	0.12	um	BRD-K49328571	dasatinib	trt_cp	24	h	LJP005_MCF10A_24H_X2_B17	D05
MCF10A-trt_cp-12188	-666	BRD-K49328571-001-11-9	0.04	um	BRD-K49328571	dasatinib	trt_cp	24	h	LJP005_MCF10A_24H_X2_B17	D06
MCF10A-trt_cp-12409	-666	BRD-K54997624-001-05-2	10	um	BRD-K54997624	alpelisib	trt_cp	24	h	LJP005_MCF10A_24H_X2_B17	N01
MCF10A-trt_cp-12410	-666	BRD-K54997624-001-05-2	3.33	um	BRD-K54997624	alpelisib	trt_cp	24	h	LJP005_MCF10A_24H_X2_B17	N02
