cell_line	agent	time	GR50	GRmax	GR_AOC	GEC50	GRinf	Hill	Replicate
MCF10A-GM (Broad)	Neratinib	72	0.17762	0.15713	0.2932	0.13923	0.12646	1.1976	MCF10A-GM (Broad) R1
MCF10A-GM (HMS)	Neratinib	72	0.14646	0.039116	0.33673	0.14033	0.030648	1.4801	MCF10A-GM (HMS) R1
MCF10A-H2B (HMS)	Neratinib	72	0.21175	0.039035	0.28971	0.2042	0.032532	1.8536	MCF10A-H2B (HMS) R1
MCF10A-HMS (HMS)	Neratinib	72	0.057429	-0.084338	0.44957	0.060122	-0.030439	1.2896	MCF10A-HMS (HMS) R1
MCF10A-OHSU (HMS)	Neratinib	72	0.2035	0.039281	0.29986	0.19668	0.027535	1.6616	MCF10A-OHSU (HMS) R1
MCF10A-GM (HMS)	Neratinib	72	0.085353	-0.20438	0.44151	0.10852	-0.18108	1.2873	MCF10A-GM (HMS) R2
MCF10A-H2B (HMS)	Neratinib	72	0.29743	0.087852	0.23849	0.27073	0.093553	2.2025	MCF10A-H2B (HMS) R2
MCF10A-HMS (HMS)	Neratinib	72	0.084434	0.020331	0.39011	0.078589	0.048293	1.4159	MCF10A-HMS (HMS) R2
MCF10A-OHSU (HMS)	Neratinib	72	0.24936	0.097324	0.2694	0.22692	0.074171	1.7025	MCF10A-OHSU (HMS) R2
MCF10A-GM (HMS)	Neratinib	72	0.11954	-0.052788	0.377	0.12852	-0.054478	1.4275	MCF10A-GM (HMS) R3
MCF10A-H2B (HMS)	Neratinib	72	0.17879	0.084018	0.31006	0.16399	0.062381	1.5431	MCF10A-H2B (HMS) R3
MCF10A-HMS (HMS)	Neratinib	72	0.082685	-0.062797	0.41754	0.087669	-0.038872	1.2792	MCF10A-HMS (HMS) R3
MCF10A-OHSU (HMS)	Neratinib	72	0.087504	-0.052142	0.41158	0.091078	-0.030765	1.4915	MCF10A-OHSU (HMS) R3
MCF10A-GM (DToxS)	Neratinib	72	0.036351	0.10612	0.4061	0.032292	0.10303	1.9488	MCF10A-GM (DToxS) R1
MCF10A-GM (DToxS)	Neratinib	72	0.010589	-0.057898	0.49911	0.0071155	0.21634	1.426	MCF10A-GM (DToxS) R2
MCF10A-GM (MEP)	Neratinib	72	0.1498	-0.006326	0.35046	0.15722	-0.032263	1.2932	MCF10A-GM (MEP) R1
MCF10A-GM (MEP)	Neratinib	72	0.14364	0.015106	0.34138	0.13983	0.018295	1.3893	MCF10A-GM (MEP) R2
