cell_line	agent	time	GR50	GRmax	GR_AOC	GEC50	GRinf	Hill	Replicate
MCF10A-GM (Broad)	Vorinostat	72	1.6133	0.076082	0.17407	1.5084	0.064241	2.0461	MCF10A-GM (Broad) R1
MCF10A-GM (HMS)	Vorinostat	72	1.2313	0.041615	0.26888	1.2356	-0.0028691	1.6421	MCF10A-GM (HMS) R1
MCF10A-H2B (HMS)	Vorinostat	72	0.6367	-0.062735	0.36417	0.72261	-0.10137	1.4583	MCF10A-H2B (HMS) R1
MCF10A-HMS (HMS)	Vorinostat	72	0.64752	-0.0060533	0.36272	0.76195	-0.092718	1.0454	MCF10A-HMS (HMS) R1
MCF10A-OHSU (HMS)	Vorinostat	72	1.146	0.0033364	0.28321	1.2461	-0.065181	1.4638	MCF10A-OHSU (HMS) R1
MCF10A-GM (HMS)	Vorinostat	72	0.73753	-0.0046558	0.34025	0.82004	-0.07155	1.2611	MCF10A-GM (HMS) R2
MCF10A-H2B (HMS)	Vorinostat	72	0.55865	-0.054483	0.38315	0.63519	-0.096018	1.3681	MCF10A-H2B (HMS) R2
MCF10A-HMS (HMS)	Vorinostat	72	0.6917	0.029426	0.35556	0.79004	-0.072893	1.0237	MCF10A-HMS (HMS) R2
MCF10A-OHSU (HMS)	Vorinostat	72	1.0413	0.018464	0.29614	1.1088	-0.047174	1.4351	MCF10A-OHSU (HMS) R2
MCF10A-GM (HMS)	Vorinostat	72	0.8751	0.0055259	0.3161	0.9289	-0.044582	1.4316	MCF10A-GM (HMS) R3
MCF10A-H2B (HMS)	Vorinostat	72	1.0062	0.0205	0.29623	1.0474	-0.03316	1.6009	MCF10A-H2B (HMS) R3
MCF10A-HMS (HMS)	Vorinostat	72	0.93058	-0.011129	0.31101	1.0389	-0.07741	1.3076	MCF10A-HMS (HMS) R3
MCF10A-OHSU (HMS)	Vorinostat	72	0.99567	-0.03276	0.30983	1.1901	-0.13045	1.2999	MCF10A-OHSU (HMS) R3
MCF10A-GM (DToxS)	Vorinostat	72	0.26625	-0.050233	0.37029	0.26753	-0.0029803	1.2318	MCF10A-GM (DToxS) R1
MCF10A-GM (DToxS)	Vorinostat	72	0.3181	-0.18556	0.39688	0.42585	-0.16739	0.98995	MCF10A-GM (DToxS) R2
MCF10A-GM (Neuro)	Vorinostat	72	100.0	0.30174	-0.52471	0.0	1.0	0.01	MCF10A-GM (Neuro) R1
MCF10A-GM (Neuro)	Vorinostat	72	100.0	0.22736	-0.065388	0.0	1.0	0.01	MCF10A-GM (Neuro) R2
MCF10A-GM (Neuro)	Vorinostat	72	100.0	0.17525	-0.18713	0.0	1.0	0.01	MCF10A-GM (Neuro) R3
MCF10A-GM (MEP)	Vorinostat	72	4.5257	0.16897	0.15195	14.2991	-1.0	0.95496	MCF10A-GM (MEP) R1
MCF10A-GM (MEP)	Vorinostat	72	2.9392	0.19435	0.15182	2.6088	0.078734	1.4368	MCF10A-GM (MEP) R2
