	alpelisib_1_48_cytosol	alpelisib_3.1623_48_cytosol	alpelisib_0.31623_48_cytosol	alpelisib_0.031623_48_cytosol	alpelisib_0.01_48_cytosol	alpelisib_10_48_cytosol	alpelisib_0.1_48_cytosol	alpelisib_1_48_nucleus	alpelisib_3.1623_48_nucleus	alpelisib_0.31623_48_nucleus	alpelisib_0.031623_48_nucleus	alpelisib_0.01_48_nucleus	alpelisib_10_48_nucleus	alpelisib_0.1_48_nucleus
RP-Ap32	 2.0072157	 2.0755309	 1.8440862	 1.7287218	 0.8576505	 1.4823781	 1.5958914	-0.5556908	-0.5539186	-0.5048224	-0.5639640	-0.6049536	-0.3725463	-0.4943428
Rb(pS807;pS811)	 2.1653962	 1.3198027	 2.2189568	 2.4399242	 1.4754476	 0.2305396	 1.5594349	-0.4605511	-0.5268882	-0.4668809	-0.4488093	-0.4957605	-0.4941649	-0.4887137
H3(pS10)	 0.191690972	 0.294198373	 0.307069954	 0.341751542	 0.210503306	-0.002898957	 0.209997907	-0.061785886	-0.046075207	-0.067408844	-0.060315787	-0.051530773	-0.056915585	-0.075324162
E2F-1	 1.6219354	 0.8313885	 1.2938555	 1.1280799	 0.4751477	 0.8188517	 0.8708516	-0.4382807	-0.4546648	-0.4618130	-0.3483344	-0.4394182	-0.1941189	-0.4894924
FOXO1a	 1.439979707	 0.474767631	 0.651582699	 0.806484686	 0.303714225	-0.283838195	 0.065036394	-0.169678673	-0.308997091	-0.619905685	 0.313722730	 0.192038654	-0.008116832	-0.633302653
c-Myc	 1.20385451	 0.10979301	 0.58005461	 0.71665195	 0.63022873	 0.07537706	 0.32119301	-0.50025049	-0.46814154	-0.54319506	-0.46962169	-0.40474336	-0.49926819	-0.55514285
Actin	 0.79057658	 0.65722297	-0.05156912	-0.05004808	-0.20638729	-0.30484751	-0.38038381	 0.34913887	 0.29307268	 0.15574246	 0.92539503	 0.10413695	 1.52993501	-0.08888822
p53	 0.6197580	 0.6312146	 0.8558280	 0.8298599	 0.6795835	 0.7740206	 0.7404563	-0.4736634	-0.4879025	-0.4236065	-0.4370321	-0.4380824	-0.4002840	-0.4157242
p21	 0.5414708	 0.4378693	 0.5187659	 0.4937745	 0.2938787	 0.1186582	 0.3813568	-0.2999265	-0.3296015	-0.2887624	-0.2632602	-0.2701124	-0.2925847	-0.2793933
p27Kip1	 0.8728631	 0.4336619	 0.4409539	 0.4945367	 0.2030504	 0.1268595	 0.1530975	-0.3579175	-0.3728534	-0.3763870	-0.1854366	-0.2632666	-0.2628307	-0.3944612
S6(pS235;pS236)	-0.24779469	-0.56805753	-0.39800995	-0.24337258	-0.40767336	-0.67034506	-0.45949004	 0.04205377	-0.09392507	-0.36023961	 1.07095823	 0.56781698	-0.31300081	-0.44990180
H2A.X(pS139)	 0.94989844	 0.46228643	 0.52805497	 0.43749775	 0.12822915	-0.03785617	 0.01737236	-0.23301653	-0.23941797	-0.26292248	-0.14519412	-0.19239844	-0.17778897	-0.26874839
Cyclin-E1	 0.5908392	 0.1117746	 0.6964454	 0.8767473	 0.6911602	 0.1886626	 0.3128692	-0.3073305	-0.3079753	-0.3497344	-0.2727805	-0.2416328	-0.3124820	-0.3518747
HCSCellMaskDeepRed	 0.6266606	 0.1763763	 0.7230567	 0.9240911	 0.8505096	 0.1883705	 0.5540267	-0.5477714	-0.4162146	-0.7564245	-0.6988431	-0.5388764	-0.1166644	-0.7498932
FOXO3a	 0.37325447	 0.56313820	 0.06073916	-0.02382625	-0.10046739	 1.04766477	-0.09123220	 0.03535150	 0.08025277	 0.00312556	 0.35048460	 0.33419750	 0.42681104	-0.04312280
ERK-1/ERK-2*	 0.1319081	-0.1513473	 0.1508352	 0.2685324	 0.3144862	-0.3925202	 0.4151906	 0.2621595	 0.4587170	 0.1546173	 0.1700084	 0.3899630	 0.6065298	 0.2217106
Cyclin-D1	 1.02879126	 0.74935816	 0.95356657	 1.07374403	 0.81830158	 0.09607854	 0.71424406	-0.32011293	-0.32767437	-0.37755565	-0.31405218	-0.33989003	-0.21346845	-0.36930186
KI-67	 1.49019219	 0.53830257	 1.53511945	 2.13716529	 1.12729550	-0.06459414	 1.22419063	-0.57991824	-0.67073362	-0.61925522	-0.53923669	-0.58981013	-0.66381935	-0.65219071
EGFR	-0.1555531	-0.5773693	-0.1907787	 0.0250199	-0.1232685	-0.7080687	-0.3520531	 0.1069940	-0.0816247	-0.4317513	 0.8834718	 0.7009227	-0.2648909	-0.4643940
PCNA	 1.84628724	 0.62833150	 1.63070916	 1.90981600	 1.19818898	 0.07710117	 0.61748120	-0.65861218	-0.72669820	-0.75287940	-0.52056726	-0.60024119	-0.72786099	-0.78910800
MitoTrackerGreen	-0.761328087	-0.736213961	-0.064258778	-0.009000877	 0.354638053	 0.039470779	 0.406877968	 0.141378731	 0.320057954	 0.496038139	-0.205346726	 0.509799430	 0.380910751	 0.290337229
