	trametinib_0.01_72_cytosol	trametinib_3e-04_72_cytosol	trametinib_0.001_72_cytosol	trametinib_0.0031623_72_cytosol	trametinib_0.31623_72_cytosol	trametinib_0.1_72_cytosol	trametinib_0.031623_72_cytosol	trametinib_0.01_72_nucleus	trametinib_3e-04_72_nucleus	trametinib_0.001_72_nucleus	trametinib_0.0031623_72_nucleus	trametinib_0.31623_72_nucleus	trametinib_0.1_72_nucleus	trametinib_0.031623_72_nucleus
RP.Ap32	-0.372778056	-0.469744402	-0.469177838	-0.416083419	-0.512406989	-0.490206360	-0.479817154	 0.356207290	-0.027224461	 0.038315232	-0.025466400	 0.650781514	 0.826573857	-0.005794411
Rb.pS807.pS811.	-0.47869106	-0.32450742	-0.35471570	-0.38832249	-0.52472570	-0.53140947	-0.53476425	-0.49148096	 0.33061491	 0.09647858	-0.28544007	-0.60936137	-0.58771836	-0.62522027
H3.pS10.	-0.082856456	-0.083015957	-0.080491857	-0.069362024	-0.089868784	-0.093782640	-0.102341972	-0.056190768	 0.097911048	 0.092752934	-0.001522578	-0.081681648	-0.075164733	-0.102922110
E2F.1	-0.1353810	-0.5030121	-0.5255552	-0.3634974	-0.4649152	-0.4293683	-0.3571736	 1.2664287	 0.4444884	 0.2196427	 1.6896262	 1.2174819	 2.6876996	-0.1414750
FOXO1a	-0.26382306	-0.57212481	-0.45112501	-0.22757952	-0.47782616	-0.44667805	-0.49886971	 1.10831852	 0.77307958	 0.03013897	 0.58613184	 0.43793980	 0.55213723	-1.11526445
c.Myc	-0.1772371	-0.2223869	-0.2139219	-0.1801906	-0.1934532	-0.2065262	-0.2321271	 0.2250624	 1.5898579	 0.4511965	 0.3788213	-0.2090695	-0.2644524	-0.4364884
Actin	 1.11809770	-0.13183859	-0.05077331	 0.34763218	 0.47131217	-0.09013168	-0.03317077	 1.44768100	-0.03283668	-0.05746340	 2.28309803	 1.03411895	 2.39459319	 0.22252239
p53	-0.317735029	-0.080812566	 0.022243298	-0.030348381	 0.032834428	-0.293571694	-0.362043243	-0.029763421	 0.001882469	-0.019836013	-0.120926993	-0.006936078	 0.192803284	-0.410169213
p21	-0.271467778	-0.311389093	-0.308527041	-0.269007933	-0.307060741	-0.311157092	-0.321623472	-0.090346371	 0.083595088	 0.016776669	-0.030953817	-0.166957943	-0.004268476	-0.254320499
p27Kip1	-0.16454172	-0.27422815	-0.25769846	-0.18439880	-0.15375912	-0.16553254	-0.23085218	 0.84474298	 1.28843581	 0.85707362	 2.66486970	 0.85385068	 2.57504683	 0.07599206
S6.pS235.pS236.	-0.67460712	-0.36418164	 0.17875707	-0.14517096	-0.67720403	-0.69354618	-0.69688227	-0.57852063	 0.07501724	-0.21447806	-0.38478040	-0.65293531	-0.63185727	-0.65661038
H2A.X.pS139.	-0.12292287	-0.15268505	-0.16035905	-0.14393459	-0.13489192	-0.15144193	-0.15594255	 0.14760831	 0.80323849	 0.15460927	 0.40434210	 0.08412001	 0.20049942	-0.20658451
Cyclin.E1	-0.25918841	-0.32301442	-0.30841832	-0.24681342	-0.27063718	-0.32036200	-0.33146032	 0.25211381	 0.78630740	 0.48980315	 0.50820012	-0.06170931	-0.11706496	-0.32752136
HCSCellMaskDeepRed	 0.68043512	-0.93944630	-0.81397958	-0.34404923	-0.16761997	-0.03824788	-0.09107853	 1.77564255	 0.23120679	 0.02333823	 1.33280529	 1.81999063	 1.89621473	-0.82201153
FOXO3a	 1.6748358	-0.2658340	 0.2644817	 1.2272228	 2.5739520	 2.1253597	 1.6577742	 1.2493181	-0.2506241	-0.1620988	 0.4412228	 1.7535261	 3.0983822	 0.3509400
ERK.1.ERK.2.	-0.70700977	-0.24996613	-0.47615230	-0.67039204	-0.62647745	-0.75363936	-0.80540414	-0.15478971	-0.26794498	-0.50870908	-0.41007322	-0.22901209	 0.06384472	-0.51728822
Cyclin.D1	-0.33073163	-0.41278239	-0.38592118	-0.30299720	-0.36891074	-0.42101795	-0.49132413	 0.52150706	 0.37104741	 0.42432742	 1.15399932	-0.02286439	 0.14346000	-0.32956439
KI.67	-0.5084777	-0.1888381	-0.2055222	-0.2110064	-0.5318052	-0.5400005	-0.5456812	-0.6922922	 0.4724106	 0.7866418	 0.1566676	-0.8180401	-0.8115676	-0.8392370
EGFR	-0.6825481	-0.4693113	-0.1852152	-0.3833042	-0.7275730	-0.7459055	-0.7666840	-0.5069189	 0.1147699	-0.1070507	-0.2941222	-0.6248692	-0.5995478	-0.6968875
PCNA	-0.48461928	-0.31016296	-0.28299633	-0.30688080	-0.55938285	-0.57259865	-0.58371551	 0.06745638	 1.67577955	 1.02015435	 1.30119591	-0.62248501	-0.58854394	-0.90884433
MitoTrackerGreen	 0.6138745	-0.5629890	-0.3006122	 0.2065046	 0.9246275	 0.8570822	 0.7465767	 0.9615255	-0.4102945	-0.3512764	 0.4936664	 1.5839898	 0.9018403	-1.0089283
