	dasatinib_0.1_24_cytosol	dasatinib_1_24_cytosol	dasatinib_3.1623_24_cytosol	dasatinib_0.31623_24_cytosol	dasatinib_0.01_24_cytosol	dasatinib_10_24_cytosol	dasatinib_0.031623_24_cytosol	dasatinib_0.1_24_nucleus	dasatinib_1_24_nucleus	dasatinib_3.1623_24_nucleus	dasatinib_0.31623_24_nucleus	dasatinib_0.01_24_nucleus	dasatinib_10_24_nucleus	dasatinib_0.031623_24_nucleus
RP.Ap32.ratIgG.H.L.	 0.06574639	 0.50075542	-0.23717946	-0.09260166	-0.35018689	 0.22974731	-0.47393463	 1.06650566	 0.14411428	-0.32576914	 0.82070024	-0.05914689	 0.67010536	 0.37558271
Rb.pS807.pS811..Rb.pS807..Rb.pS811.	-0.135039331	-0.319091296	-0.461121002	-0.308033757	-0.171619272	-0.374813469	-0.379279648	 0.152215711	-0.448510479	-0.628187729	-0.425762310	 0.009314931	-0.678781309	-0.194614098
H3.pS10.	 0.035084485	 0.002573504	-0.004805741	 0.008234613	-0.031442228	 0.017655283	-0.059190177	-0.048674476	-0.120738982	-0.111555428	-0.127037951	-0.052853634	-0.146288151	-0.047079059
E2F.1	 1.15389830	 1.20511988	-0.06826929	 0.11764319	-0.18241118	 0.18013809	-0.42676596	 0.61765184	-0.32416321	-0.18297775	 0.29629195	-0.24313881	 0.52043495	-0.04877285
FOXO1a	 3.14087702	 3.46057857	 1.69934817	 1.56556831	 0.01937211	 0.47393611	-0.69287058	-0.23402231	 0.02692038	 0.46339529	-0.92875366	-0.85119425	-1.18693162	-0.98359320
c.Myc	 0.23571853	 0.28499170	 0.20493562	 0.13885185	-0.04427079	 0.01451387	-0.18613668	-0.56687588	-0.75646163	-0.49095824	-0.88859019	-0.63037190	-0.93972058	-0.90110812
Actin	 3.13762464	 3.75441654	 2.08624517	 0.86688687	-0.02671914	 0.80319475	-0.49146005	 0.75812658	 2.57579095	 1.61116041	 0.54440003	-0.84743917	 1.30651146	-0.68064765
p53.mouseIgG.H.L..goat	 0.03642092	 0.41520920	 0.11946985	 0.22668778	-0.23876474	 0.61658879	-0.42261126	 0.33606251	 0.31082770	 0.13073214	 0.40635405	-0.15634833	 0.12149049	-0.11446357
p21	-0.092661834	 0.049909611	-0.144321605	-0.070975005	-0.195695439	 0.101198922	-0.279299259	 0.003176699	-0.297298966	-0.243016007	-0.002182762	-0.218008493	-0.235581559	-0.216374892
p27Kip1	 0.9289901	 2.1673009	 1.0498133	 0.3891263	-0.1787280	 1.3046896	-0.2483431	 0.1575766	 0.4371042	 0.8998538	 0.2102801	-0.3762190	 0.1180361	-0.4017387
S6.pS235.pS236.	 0.510284773	 0.008436993	-0.546410003	 0.130188073	 0.152124373	-0.668438197	-0.556704245	-0.470357525	-0.553371180	-0.571643974	-0.646868687	-0.277697859	-0.708463024	-0.691793585
H2A.X.pS139.	 0.12016501	 0.04605666	-0.05426846	-0.05727323	-0.11938388	-0.06625518	-0.15532405	-0.23570824	-0.37392466	-0.16863712	-0.35920491	-0.36427123	-0.24750858	-0.42746258
Cyclin.E1	 0.11001463	 0.09514049	 0.10351009	 0.05067668	-0.16444521	-0.18296827	-0.38799357	-0.37225277	-0.55192343	-0.38401934	-0.57975325	-0.48363294	-0.61840536	-0.60533891
HCSCellMaskDeepRedReagent	 0.6662975	 1.0235715	 1.9742425	 1.6736777	 0.4690253	 1.5703018	-0.7564855	 2.5924082	 3.1750618	 5.4733973	 1.1486230	 0.3927470	 0.8934703	 0.3103620
FOXO3a.rabbitIgG.H.L..goat.highlycross.adsorbed	 1.40547511	 2.69361534	 1.83767204	 1.91698993	 0.02482048	 3.47308170	-0.32384712	 0.04044123	 0.92965657	 0.98762969	 0.64233999	-0.86358196	 1.19246790	-0.72787110
ERK.1.pT202.pY204..ERK.1.pT202..ERK.2.pT185.pY187..ERK.2.pT185.	 0.362565622	 0.691196145	-0.008958628	 0.667490946	 0.277442865	 0.180054358	-0.155640837	-0.321919961	-0.048437897	-0.301706167	-0.381608705	-0.804431108	-0.838062410	-0.694207890
Cyclin.D1	 0.4287287	 0.6724446	 0.1642868	 0.3440365	-0.1142868	 0.1680481	-0.4064600	-0.1710135	-0.2334000	-0.2958742	-0.2631944	-0.5072065	-0.6361221	-0.5717817
KI.67	-0.12188424	-0.20116712	-0.40754460	-0.27723179	-0.21379371	-0.40554964	-0.47185007	-0.20487776	-0.61415899	-0.83400798	-0.63215389	 0.02330906	-0.88504173	-0.72268132
EGFR	 0.9031370	 0.1934956	-0.3736070	 0.3403253	 0.3176978	-0.6035027	-0.6154140	-0.5890384	-0.6389156	-0.5861599	-0.7232046	-0.5279610	-0.7648825	-0.7385262
PCNA	 0.1934513	 0.1056898	-0.1819969	-0.1173600	-0.2708319	-0.3968097	-0.5484379	-0.3740468	-0.5504106	-0.7756820	-0.8682581	-0.3882636	-0.9539198	-0.8190445
MitoTrackerGreenReagent	-0.2725145	-0.2217385	 1.8437636	 1.2946295	 0.5942180	 1.7956129	-0.5253624	 0.1353256	 1.0556144	 4.1919787	 2.1710585	-0.2926210	 2.7425686	 0.1688463
