	paclitaxel_1e-04_48_cytosol	paclitaxel_0.0031623_48_cytosol	paclitaxel_0.01_48_cytosol	paclitaxel_0.00032_48_cytosol	paclitaxel_0.1_48_cytosol	paclitaxel_0.031623_48_cytosol	paclitaxel_0.001_48_cytosol	paclitaxel_1e-04_48_nucleus	paclitaxel_0.0031623_48_nucleus	paclitaxel_0.01_48_nucleus	paclitaxel_0.00032_48_nucleus	paclitaxel_0.1_48_nucleus	paclitaxel_0.031623_48_nucleus	paclitaxel_0.001_48_nucleus
RP-Ap32	 2.4037637	 1.6567631	 0.6123310	 1.2412357	 0.9507004	-0.4372552	 1.4067237	-0.5917310	 0.3501916	 0.2459032	-0.5920016	-0.6950912	-0.5294878	-0.4496256
Rb(pS807;pS811)	 2.7419382	 0.9755657	 0.3736844	 1.5967752	 0.4571410	-0.3506284	 1.3570976	-0.4615054	-0.4900240	-0.6124968	-0.4801667	-0.6235047	-0.6310023	-0.4498955
H3(pS10)	 0.43601639	 0.57313291	 1.93534873	 0.30950803	 4.55989457	 0.67120218	 0.48330263	-0.06488195	-0.05017846	-0.07641294	-0.05406868	-0.10538261	-0.09859850	-0.05883319
E2F-1	 2.0010119	 1.1402666	 1.0793468	 0.8435316	 0.2754429	-0.4180245	 1.0050346	-0.4634326	 1.2933159	 0.3666077	-0.4741293	-0.4914586	-0.2856934	-0.2740665
FOXO1a	 2.253103064	 0.716633076	 1.687824900	 0.021992679	-0.152455004	-0.882616583	-0.017786956	 0.065543099	 1.935305055	-0.399633005	 0.001906878	-1.221614464	-0.874113360	 0.356328931
c-Myc	 0.71128226	 0.39973301	 0.63904827	 0.46064231	 0.06825799	-0.15736588	 0.28062704	-0.46734785	-0.18523966	-0.49560789	-0.46374311	-0.54332053	-0.54195693	-0.45129504
Actin	 0.9384967	 0.3614496	 0.7426696	-0.4205283	 0.6274755	-0.6776944	-0.4051254	 0.3333659	 4.2712234	 0.8975194	 0.1238806	-0.8271599	-0.2063183	 0.6944292
p53	 0.664166583	 3.988932524	 2.909597389	 0.834524807	 2.976661107	-0.009281496	 1.479915440	-0.426027895	 0.536186075	 0.453905288	-0.405463106	-0.661213569	-0.448350744	-0.330843724
p21	 0.63002863	 2.29328548	 1.69443725	 0.42606557	 1.05948173	-0.04715179	 0.67312420	-0.26431181	 0.78022922	 0.10505935	-0.27785896	-0.30458920	-0.19301188	-0.14868697
p27Kip1	 0.9795382	 0.4891026	 0.9502850	 0.1642876	 0.4528485	-0.1746969	 0.2175437	-0.3177037	 0.5094549	-0.3121358	-0.3191885	-0.3968321	-0.3190868	-0.2575230
S6(pS235;pS236)	-0.07665891	-0.32687439	 0.24213599	-0.33243340	-0.40075529	-0.66230258	-0.46427679	 0.84197852	 0.09714709	-0.60797247	 0.62308229	-0.66595677	-0.61435752	 1.01728305
H2A.X(pS139)	 1.23668669	 0.40644540	 1.60541623	 0.03152030	 0.31315372	-0.04637448	 0.05282983	-0.20990738	 0.10304945	-0.15020654	-0.22438581	-0.22494373	-0.18261464	-0.14867926
Cyclin-E1	 0.8853269	 0.8975008	 0.8701029	 0.4362819	-0.1255139	-0.3109526	 0.2481511	-0.2662723	-0.1734776	-0.3101518	-0.2902036	-0.3267004	-0.3258711	-0.2407646
HCSCellMaskDeepRed	 0.9633165	 1.2264622	 2.5964600	 1.0152606	 1.0384751	-0.8292871	 0.7528551	-0.7607249	 1.1154511	 0.3559119	-0.5375099	-1.3194482	-0.8209672	-0.3058600
FOXO3a	 0.19208344	 0.36253169	 1.27146194	-0.01962547	 1.80004561	-0.44427435	 0.01852565	 0.41709900	 2.49406959	 0.96364186	 0.35316063	-0.67382591	-0.18339220	 0.51280703
ERK-1/ERK-2*	 0.4187997	 0.3399359	 0.8541189	 0.3378650	 0.6724445	-0.6249227	 0.2439017	 0.2963159	 2.2196563	 0.9420838	 0.3143854	-0.4778198	-0.1959271	 0.5746508
Cyclin-D1	 1.4830405	 1.2735125	 1.4863607	 0.8011643	 1.0660019	-0.2361942	 0.7804951	-0.3468237	 0.8225712	-0.1367791	-0.3356749	-0.4216699	-0.2753427	-0.1061993
KI-67	 2.2051182	 1.0253570	 1.1584672	 1.3334116	 0.5500433	-0.3274866	 0.9178406	-0.5630871	-0.6717006	-0.8282885	-0.5904413	-0.8457059	-0.8374715	-0.5472635
EGFR	 0.28111141	-0.09585636	 0.62325971	-0.22871962	-0.46494525	-0.74239682	-0.41284283	 0.69956324	 0.25458810	-0.54383462	 0.58055814	-0.69917568	-0.60933713	 0.92489847
PCNA	 2.3403131	 1.2070715	 0.8809790	 0.7603126	-0.3102736	-0.5252488	 0.5160180	-0.6155520	-0.6581925	-0.8813236	-0.6165899	-0.9119411	-0.8889943	-0.6196819
MitoTrackerGreen	-0.59376513	 0.56202983	 1.58131026	 0.33421929	 1.70518055	-1.01709222	 0.44592128	 0.09168401	 0.77663459	 1.42987286	 0.34290717	-1.28139076	-0.84722993	 0.11652140
