	trametinib_0.01_48_cytosol	trametinib_3e-04_48_cytosol	trametinib_0.001_48_cytosol	trametinib_0.0031623_48_cytosol	trametinib_0.31623_48_cytosol	trametinib_0.1_48_cytosol	trametinib_0.031623_48_cytosol	trametinib_0.01_48_nucleus	trametinib_3e-04_48_nucleus	trametinib_0.001_48_nucleus	trametinib_0.0031623_48_nucleus	trametinib_0.31623_48_nucleus	trametinib_0.1_48_nucleus	trametinib_0.031623_48_nucleus
RP.Ap32	 1.9266241	 1.6593292	 0.7164013	 1.9986863	 1.7779341	 1.8866428	 1.4197206	-0.3753242	-0.5785222	-0.5785168	-0.3537619	-0.3525503	-0.1558557	-0.4235293
Rb.pS807.pS811.	-0.3033722	 1.6747445	 0.9069379	 0.4558044	-0.5267867	-0.4939717	-0.5075376	-0.5706258	-0.4904663	-0.5438707	-0.5221441	-0.5953083	-0.5759116	-0.6291375
H3.pS10.	-0.01996621	 0.19969460	 0.17900622	 0.04368887	-0.07617914	-0.07828235	-0.08433477	-0.06809747	-0.04586218	-0.06273313	-0.06064267	-0.07180409	-0.06909538	-0.10159706
E2F.1	 2.17566513	 0.74607441	 0.60376227	 1.37299898	 0.99393756	 1.13949724	 0.81906106	-0.21496434	-0.28190973	-0.45653696	 0.02575249	-0.26331289	 0.01675705	-0.39366756
FOXO1a	 0.449249461	 0.410165741	 0.730065952	 0.552943257	 0.004189198	-0.364292857	-0.522159619	 0.369048554	 0.312180278	-0.193241925	 0.287702552	 0.055609421	 0.392051900	-1.076397806
c.Myc	 0.11742952	 0.34272324	 0.76744152	 0.42292370	 0.03410173	-0.01587935	-0.08523712	-0.41264588	-0.36700107	-0.52848467	-0.39272975	-0.43233984	-0.42536845	-0.44762050
Actin	 0.32134377	 0.17289913	 0.09215269	 0.15561966	-0.25535653	-0.46765987	-0.52717172	 2.17255798	 0.65931208	 0.61408834	 2.53660025	 1.65453279	 3.01543207	 0.27258782
p53	 0.7657208	 1.1464986	 0.9633904	 1.3100041	 0.7109310	 0.6164103	 0.6005417	-0.3427308	-0.4266468	-0.4678127	-0.3256066	-0.4371301	-0.3361410	-0.5928758
p21	 0.9023907	 0.6212600	 0.3759209	 0.7884903	 0.8051335	 0.6794225	 0.6110571	-0.2900212	-0.2995852	-0.3152859	-0.2595812	-0.2918630	-0.2376866	-0.3194130
p27Kip1	 2.58012285	 0.28077977	 0.53519483	 1.16246636	 1.67727681	 0.91307968	 0.70232142	-0.23762766	-0.17489215	-0.26439122	 0.23236604	-0.22209275	 0.06389344	-0.22080699
S6.pS235.pS236.	-0.6316385	-0.4414978	-0.3972903	-0.5813923	-0.6771453	-0.6902217	-0.6886998	-0.5221889	 0.7513417	 0.3629023	-0.1097509	-0.6453670	-0.6206888	-0.6534793
H2A.X.pS139.	 0.43232567	 0.30438595	 0.46287371	 0.36203248	-0.01545678	-0.08407380	-0.11768037	-0.21862964	-0.14873592	-0.24709545	-0.14983988	-0.19334631	-0.18671852	-0.24576355
Cyclin.E1	 0.27670591	 0.55601127	 1.12260816	 0.93540884	 0.35721129	 0.11864294	-0.09161381	-0.29488471	-0.23738851	-0.30927678	-0.27572422	-0.29176821	-0.32576158	-0.33691704
HCSCellMaskDeepRed	 0.1818598	 0.2833793	 0.3794734	 0.6630805	 0.1408852	 0.1639167	-0.2587652	 1.0646010	-0.4603377	-0.6310431	 0.3525895	 1.2197208	 1.4881623	-0.9099233
FOXO3a	 0.104309943	-0.130114586	 0.001403391	 0.080334769	 0.210545602	 0.099256663	-0.072295497	 2.270203088	 0.340861096	 0.565600763	 1.558459644	 2.636761605	 4.143307522	 0.505318142
ERK.1.ERK.2.	-0.80510354	-0.39085193	-0.70101277	-0.78150009	-0.94970849	-0.82790819	-0.84292969	 0.06269191	 0.18195747	-0.20214014	-0.13394398	-0.05888219	 0.22939746	-0.49017600
Cyclin.D1	 0.06877377	 0.97376275	 0.70904068	 0.71406844	-0.34988030	-0.32438063	-0.36321080	-0.03648601	-0.29614971	-0.32739175	-0.03678018	-0.13293077	-0.06074100	-0.36739630
KI.67	-0.09257783	 1.77376575	 1.00489711	 0.45076315	-0.12160653	-0.27947154	-0.31181103	-0.78128028	-0.52707123	-0.63109379	-0.59291429	-0.81401631	-0.81372870	-0.84000614
EGFR	-0.63398822	-0.32786188	-0.25553141	-0.52223837	-0.69803276	-0.72264487	-0.75160205	-0.41734957	 0.88152924	 0.47764769	 0.01826582	-0.60218354	-0.57322155	-0.69197595
PCNA	 0.718002621	 1.421341759	 1.999172405	 1.484910241	 0.394990939	-0.005804517	-0.222205064	-0.762922450	-0.504319715	-0.673260825	-0.577885456	-0.868744650	-0.858508638	-0.913959523
MitoTrackerGreen	-0.37756110	-0.25369961	-0.22346208	-0.32279569	-0.24159852	-0.03531806	-0.33348164	 1.43609411	 0.22758765	 0.26747185	 0.41736718	 2.05908954	 1.17297453	-1.00618862
