	vorinostat_0.1_24_cytosol	vorinostat_0.031623_24_cytosol	vorinostat_1_24_cytosol	vorinostat_3.1623_24_cytosol	vorinostat_10_24_cytosol	vorinostat_0.01_24_cytosol	vorinostat_0.31623_24_cytosol	vorinostat_0.1_24_nucleus	vorinostat_0.031623_24_nucleus	vorinostat_1_24_nucleus	vorinostat_3.1623_24_nucleus	vorinostat_10_24_nucleus	vorinostat_0.01_24_nucleus	vorinostat_0.31623_24_nucleus
RP.Ap32.ratIgG.H.L.	-0.3757667	-0.4697243	-0.2940995	-0.2981565	-0.5456094	-0.2656561	-0.2529950	 0.2341124	 0.2539165	 0.8208124	 0.3331121	 0.1439300	 0.3168997	 0.3522202
Rb.pS807.pS811..Rb.pS807..Rb.pS811.	-0.21566058	-0.25716065	-0.31486211	-0.48620611	-0.51925952	-0.26073204	-0.24657772	 0.32389685	 0.30393781	-0.02210445	-0.61592181	-0.70402245	-0.05683047	 0.03344345
H3.pS10.	-0.052939190	-0.051224510	-0.076604164	-0.078754519	-0.071598831	-0.058537000	-0.042333147	-0.024394573	 0.011507075	-0.065198549	-0.162478942	-0.159303119	 0.002569894	-0.054377124
E2F.1	-0.2883129495	-0.3956797447	 0.0001971316	 0.1400536144	-0.3828046031	-0.2218038587	-0.1069615292	-0.2101879600	-0.1626057365	 0.3240395579	 0.5042906197	 0.2049161601	-0.1562781329	-0.0746236978
FOXO1a	 0.2862386	 0.2841402	-0.5584220	-0.4910293	-0.5608369	-0.4202090	-0.4869232	-0.8200733	-0.8666573	-1.0175510	-1.1192998	-1.0804992	-1.0064676	-1.0412020
c.Myc	-0.06313679	-0.03558953	-0.11060439	-0.13983473	-0.15062585	-0.12132657	-0.13525890	-0.56199884	-0.64890826	-0.79005583	-0.90195304	-0.95856280	-0.81525949	-0.82948236
Actin	 0.3826295	 0.1483330	-0.3803448	-0.3050266	-0.1935776	-0.3936491	-0.3364911	-0.7641230	-0.8100198	-0.8329289	-0.8897283	-0.7174112	-0.9384001	-0.9817070
p53.mouseIgG.H.L..goat	-0.39576525	-0.41081240	-0.49681394	-0.53734312	-0.51044601	-0.33601889	-0.40637959	-0.13904139	-0.03404675	-0.18909077	-0.33480307	-0.43773147	-0.12648316	-0.32502036
p21	-0.18919767	-0.24184806	-0.03098608	 0.22571704	 0.03822350	-0.20088026	-0.16146760	-0.15882310	-0.16803551	 0.44439692	 0.55928205	 0.46278706	-0.21389349	-0.05663004
p27Kip1	-0.1885283	-0.2135490	-0.1957353	-0.1672520	-0.1281376	-0.2393049	-0.2412388	-0.3968150	-0.4019958	-0.3636786	-0.3470882	-0.2161051	-0.4305698	-0.4234532
S6.pS235.pS236.	 0.2305527	 0.5940594	-0.5332557	-0.5426684	-0.6777704	-0.4436513	-0.3652591	-0.3710045	-0.5442009	-0.6855312	-0.6942827	-0.7136346	-0.6530995	-0.6585757
H2A.X.pS139.	-0.09327219	-0.10962954	-0.12975109	-0.13306171	-0.14188385	-0.16562068	-0.15587915	-0.30576523	-0.35624786	-0.26418157	-0.29239317	-0.23045030	-0.42077594	-0.35059953
Cyclin.E1	-0.15615313	-0.12836841	-0.07357020	-0.09524299	-0.15038491	-0.29389763	-0.29144350	-0.45631476	-0.48484865	-0.35726266	-0.20910437	-0.40582522	-0.55863624	-0.53332299
HCSCellMaskDeepRedReagent	 0.29328414	 0.14163540	-0.22978966	-0.11519255	-0.29239509	-0.03435145	-0.21299251	 0.19943248	-0.02216380	 0.45102696	-0.27710587	 0.34601223	 0.05198557	 0.13136775
FOXO3a.rabbitIgG.H.L..goat.highlycross.adsorbed	-0.10336938	-0.26987798	-0.43423167	-0.32741026	-0.06672763	-0.21704266	-0.29941260	-0.92816384	-0.93669081	-0.91422755	-0.89037486	-0.42392937	-0.95451555	-0.97618722
ERK.1.pT202.pY204..ERK.1.pT202..ERK.2.pT185.pY187..ERK.2.pT185.	 0.3746692	 0.5173869	-0.4347231	-0.5448718	-0.6774605	 0.3259028	 0.2614164	-0.7072927	-0.7334735	-0.8287692	-1.0216983	-0.9752922	-0.7825502	-0.8006122
Cyclin.D1	-0.1744472	-0.2111820	-0.2056153	-0.3296401	-0.3730679	-0.2499313	-0.2924363	-0.4289103	-0.4461203	-0.2752298	-0.3820187	-0.7040108	-0.5559603	-0.4879781
KI.67	-0.3011826	-0.2996746	-0.4804515	-0.4890242	-0.5213738	-0.4016359	-0.4184257	 0.1422148	 0.1733884	-0.5171142	-0.8729650	-0.8894878	-0.2349175	-0.2716952
EGFR	 0.6806038	 1.2451274	-0.4189350	-0.5583644	-0.7326840	-0.2725324	-0.3331291	-0.5728050	-0.6629605	-0.7397049	-0.7634849	-0.7702890	-0.7106867	-0.7202584
PCNA	-0.3101793	-0.2607455	-0.4236006	-0.4255783	-0.4573300	-0.4744575	-0.4872464	-0.2331330	-0.3219413	-0.6583189	-0.8254060	-0.8167884	-0.6603478	-0.6784258
MitoTrackerGreenReagent	 0.17954033	 0.10562506	-0.27624574	-0.11889666	 0.29506575	 0.07872874	 0.22129336	-0.51608756	-0.45886737	-0.55277870	-0.63264920	 0.13372675	-0.40241710	-0.48229860
