	etoposide_0.1_48_cytosol	etoposide_0.01_48_cytosol	etoposide_1_48_cytosol	etoposide_0.031623_48_cytosol	etoposide_3.1623_48_cytosol	etoposide_0.31623_48_cytosol	etoposide_10_48_cytosol	etoposide_0.1_48_nucleus	etoposide_0.01_48_nucleus	etoposide_1_48_nucleus	etoposide_0.031623_48_nucleus	etoposide_3.1623_48_nucleus	etoposide_0.31623_48_nucleus	etoposide_10_48_nucleus
RP.Ap32.ratIgG.H.L.	 2.1422103	 0.1044032	 0.2280046	 1.2363500	 1.1632249	 1.7696735	 1.4369684	-0.4377777	-0.5744831	-0.3747491	-0.5284352	-0.3752664	-0.2705620	-0.7070836
Rb.pS807.pS811..Rb.pS807..Rb.pS811.	 2.3642821	 0.8184075	 0.9114892	 1.9069236	 2.7369898	 1.0129469	 0.6170155	-0.5451936	-0.4812541	-0.5772583	-0.5135314	-0.5756859	-0.5413925	-0.6401977
H3.pS10.	 0.18685631	 0.21254553	-0.01288098	 0.24438778	-0.03731732	 0.06189488	-0.06512342	-0.07998614	-0.05488635	-0.08386663	-0.05235645	-0.08749220	-0.08506109	-0.10933184
E2F.1	 2.08370322	 0.56384068	 2.49052482	 0.98855950	 1.45160588	 1.08977715	 1.20417098	-0.38251669	-0.48728664	 0.42571689	-0.14535058	 1.17263303	-0.09539806	-0.09492051
FOXO1a	 2.4956789	 1.4787664	 2.8163508	 0.5129894	 0.6842751	 0.2890860	-0.4021975	-0.5089796	-0.2882365	 0.6789649	 0.8652632	 0.1295997	-0.3911744	-0.9936467
c.Myc	 0.873206787	 0.973626409	 1.478595015	 0.797111032	 0.714267495	 0.377765517	 0.007429535	-0.530486492	-0.481605928	-0.383706032	-0.336379222	-0.411752662	-0.485381309	-0.576207997
Actin	 0.95846685	 0.54267216	 0.93621254	-0.03913655	 0.02033321	-0.26800352	-0.33984495	 0.08021072	-0.07692951	 1.75460664	 0.94781706	 2.35844341	 0.17096440	-0.28674301
p53.mouseIgG.H.L..goat	 1.20750631	 0.05744454	 0.88685303	 1.07533527	 3.31768758	 1.91339691	 4.06568718	-0.26677958	-0.43717846	-0.33234798	-0.39032727	-0.31792555	-0.03885622	-0.66667608
p21	 1.55365181	 0.15969041	 2.59550257	 0.56156566	 4.90584873	 1.91095188	 4.83111995	-0.11893396	-0.25616953	 0.05537201	-0.23105755	 0.14504008	 0.25318431	-0.18785994
p27Kip1	 1.18577870	 0.62848661	 1.63569447	 0.32881543	 0.51434175	 0.15905292	 0.14200020	-0.39031472	-0.37580037	-0.16854334	-0.08403582	 0.08146052	-0.35192602	-0.28829902
S6.pS235.pS236.	 0.1218183719	 0.1440246678	 0.1063480663	-0.1910254732	-0.5016121810	-0.3245237158	-0.6479273423	-0.0005266541	 0.3019994657	-0.0004639696	 0.8226461062	-0.1598189753	-0.3244225397	-0.6428641796
H2A.X.pS139.	 1.56825065	 0.56505780	 3.57180342	 0.34490369	 4.06624617	 0.16758826	 2.17673799	-0.25338701	-0.24068474	 0.07704421	-0.07361824	 0.74041645	-0.21386874	 0.04779085
Cyclin.E1	 1.13348003	 0.91579011	 1.37402333	 1.05077159	 1.37796023	 0.73837848	 0.09637674	-0.32808628	-0.30767650	-0.12500790	-0.16889072	-0.21029728	-0.27215809	-0.29512152
HCSCellMaskDeepRedReagent	 0.77816180	 0.87163628	 1.87455491	 1.03297796	 1.37226714	 0.85869679	 0.32558956	-0.67171334	-0.53036070	 0.37685970	-0.36570329	 0.07152337	-0.29883054	-1.19870314
FOXO3a.rabbitIgG.H.L..goat.highlycross.adsorbed	 0.17583605	-0.10672758	 0.34817423	-0.10509421	 0.27631184	-0.05045571	 0.09237868	 0.06219778	 0.10454223	 1.04051272	 0.52549270	 0.92787256	 0.22434130	-0.50112398
ERK.1.pT202.pY204..ERK.1.pT202..ERK.2.pT185.pY187..ERK.2.pT185.	 0.59542648	 0.32217431	 0.84855013	 0.17501307	 0.73932754	 0.65916200	 0.56585446	 0.50825479	 0.26446348	 1.81516010	 0.26540479	 2.04479706	 0.99569803	-0.03927911
Cyclin.D1	 2.1292805	 1.0108342	 2.3433453	 1.1295565	 1.5980026	 1.4397978	 0.7443625	-0.2618080	-0.3495436	 0.5424606	-0.2180334	 0.6890568	 0.1067551	-0.1379937
KI.67	 2.6393754	 0.9428481	 0.4496179	 2.0129002	 0.7191426	 1.1969340	-0.3071497	-0.6632552	-0.6054653	-0.7840924	-0.6148590	-0.7898341	-0.6781346	-0.8480241
EGFR	 0.37687029	 0.47409843	 0.60544249	 0.04905051	-0.27599351	-0.23330350	-0.65131987	-0.20101833	 0.25999412	 0.23169704	 0.77019280	-0.07180007	-0.28970931	-0.66553152
PCNA	 2.8304568	 1.5823180	 2.3274201	 1.7874773	 2.8668405	 0.8182460	 0.1510614	-0.7939840	-0.6926001	-0.7097857	-0.4749598	-0.6656026	-0.8031243	-0.8974302
MitoTrackerGreenReagent	-0.76418249	 0.03770329	 0.41377458	 0.47337490	 0.64401926	 0.46102823	-0.17862371	 0.52089270	 0.35359334	 0.72248563	-0.08724821	 0.82337742	 0.77343464	-1.06474464
