	neratinib_0.01_72_cytosol	neratinib_0.031623_72_cytosol	neratinib_0.001_72_cytosol	neratinib_0.31623_72_cytosol	neratinib_0.0032_72_cytosol	neratinib_1_72_cytosol	neratinib_0.1_72_cytosol	neratinib_0.01_72_nucleus	neratinib_0.031623_72_nucleus	neratinib_0.001_72_nucleus	neratinib_0.31623_72_nucleus	neratinib_0.0032_72_nucleus	neratinib_1_72_nucleus	neratinib_0.1_72_nucleus
RP.Ap32.ratIgG.H.L.	-0.44157678	-0.34852277	-0.45670434	-0.35628197	-0.51404762	-0.41175732	-0.35692404	-0.16221175	 0.60493859	 0.47068129	 0.75403284	-0.50945121	 0.03781327	 0.65453156
Rb.pS807.pS811..Rb.pS807..Rb.pS811.	-0.23679211	-0.22345189	-0.24686505	-0.52038382	-0.33709352	-0.52796736	-0.44754922	 0.35407936	 0.67468736	 0.63769020	-0.49015814	-0.09203048	-0.59777268	 0.20768923
H3.pS10.	-0.07918462	-0.06217808	-0.07149153	-0.04386132	-0.07383154	-0.09649363	-0.08427678	 0.11993873	 0.09616840	 0.06200874	-0.01090583	 0.03028850	-0.08733288	-0.01378770
E2F.1	-0.4935718	-0.3473504	-0.3579429	-0.3817318	-0.4877280	-0.4107838	-0.3523535	 0.8093324	 0.2722334	 0.3242104	 0.7533403	-0.1355308	 0.4950636	 0.6285234
FOXO1a	 0.06924784	-0.16568548	-0.13329806	-0.31804197	-0.49241225	-0.58441294	-0.61212660	 1.04601654	 0.16172250	 0.60223718	 0.17219320	 0.19778108	-0.01012535	 0.60100490
c.Myc	-0.1324377	-0.1449592	-0.1258445	-0.1819149	-0.2024762	-0.2207260	-0.2432087	 1.3470027	 0.7291228	 1.0661595	-0.1322111	 0.6594777	-0.3522814	 0.7585615
Actin	 0.08799285	 0.17870137	-0.05097470	 0.84136723	-0.57700039	 0.30456256	 0.10989832	 0.31836702	-0.08388611	-0.14405664	 1.62448420	-0.38723885	 2.91506238	 0.80416867
p53.mouseIgG.H.L..goat	-0.24623716	-0.18581517	-0.35886784	 0.14113175	-0.21400498	-0.27619270	-0.27176741	-0.05876539	 0.38856208	 0.56168188	 0.27837706	-0.27768100	-0.20239491	 0.40266232
p21	-0.30653855	-0.28782020	-0.24747965	-0.30783632	-0.28716155	-0.31122253	-0.32402309	 0.07143588	 0.09965122	 0.31801089	-0.14613761	 0.01143197	-0.24138881	 0.08717722
p27Kip1	-0.25045345	-0.21846377	-0.23206488	 0.01163073	-0.25923032	-0.19039126	-0.26034034	 1.44619507	 0.59203146	 0.67668549	 0.83313870	 0.37619018	 0.99291933	 0.93403352
S6.pS235.pS236.	 1.73654700	 0.07489093	 0.30171293	-0.68698243	 0.80388338	-0.70184397	-0.67452420	 0.23484427	-0.17119272	-0.06228926	-0.64357285	-0.07797690	-0.65724745	-0.39410120
H2A.X.pS139.	-0.1376229	-0.1375355	-0.1394905	-0.1226225	-0.1527179	-0.1325970	-0.1566727	 1.3491793	 0.3104927	 0.5074953	 0.1832350	 0.1702069	 0.4409100	 0.2607264
Cyclin.E1	-0.2484279	-0.1863449	-0.1586333	-0.2796886	-0.2872162	-0.3160517	-0.3138975	 0.8717895	 0.4301004	 0.6315217	-0.1882113	 0.3867720	-0.3018725	 0.3834204
HCSCellMaskDeepRedReagent	-0.49603716	-0.17756456	-0.01908240	 0.17708709	-0.77645564	-0.13985794	-0.15767498	 0.10332896	 0.03204808	 0.06606237	 1.98046885	 0.18448227	 1.13174913	 0.93541406
FOXO3a.rabbitIgG.H.L..goat.highlycross.adsorbed	-0.11053125	 0.04387947	-0.25050432	 1.38597364	-0.40494614	 0.83908697	 0.28443794	-0.22679656	-0.14207652	-0.06163631	 2.44122235	-0.15118900	 1.46036898	 0.83923693
ERK.1.pT202.pY204..ERK.1.pT202..ERK.2.pT185.pY187..ERK.2.pT185.	 0.21474616	-0.34328126	-0.20775917	-0.61099883	-0.22278776	-0.73514086	-0.52091583	-0.16751420	-0.20151243	-0.21382133	 0.34584007	-0.07288840	-0.05696089	 0.17675079
Cyclin.D1	-0.32438455	-0.34827593	-0.29746177	-0.35726654	-0.39544147	-0.45217031	-0.44034335	 0.44030614	 0.44268262	 0.23987547	 0.47505006	 0.05747259	-0.06924657	 0.92223726
KI.67	-0.09805470	-0.13677810	-0.12034755	-0.52047189	-0.15335924	-0.54134240	-0.52060584	 0.71771173	 0.88037674	 0.78102719	-0.73534119	 0.18870095	-0.81890821	 0.09670976
EGFR	 1.090297426	 0.149714623	 0.526061079	-0.736111617	-0.078410729	-0.768018981	-0.702769512	 0.276876450	-0.151895633	-0.093581956	-0.605551666	 0.001517198	-0.649902472	-0.219781469
PCNA	-0.08323751	-0.16695303	-0.16785241	-0.53854063	-0.32738984	-0.57623559	-0.53261071	 2.02067753	 1.05979467	 1.24763870	-0.50733211	 0.77756450	-0.75008907	 0.80782730
MitoTrackerGreenReagent	-0.6569679	-0.3781413	-0.2957549	 1.0672346	-0.2863965	 0.9793975	 0.6816527	-0.4465387	-0.4460961	-0.5044033	 2.7903894	-0.3198434	 1.6718204	 0.6176133
