	etoposide_0.1_72_cytosol	etoposide_0.01_72_cytosol	etoposide_1_72_cytosol	etoposide_0.031623_72_cytosol	etoposide_3.1623_72_cytosol	etoposide_0.31623_72_cytosol	etoposide_10_72_cytosol	etoposide_0.1_72_nucleus	etoposide_0.01_72_nucleus	etoposide_1_72_nucleus	etoposide_0.031623_72_nucleus	etoposide_3.1623_72_nucleus	etoposide_0.31623_72_nucleus	etoposide_10_72_nucleus
RP.Ap32.ratIgG.H.L.	-0.520605983	-0.492258447	-0.354357826	-0.509162043	-0.391854641	-0.382547788	-0.410070917	 1.813517325	 0.369343524	 0.241948612	 0.205435030	 0.005146654	 2.425760084	-0.637699806
Rb.pS807.pS811..Rb.pS807..Rb.pS811.	-0.4191655	-0.2687640	-0.3527319	-0.3335468	-0.3102061	-0.4682848	-0.5193336	 0.3861337	 0.5071689	-0.3485608	 0.3420357	-0.4632950	 0.2948321	-0.6295784
H3.pS10.	-0.09986110	-0.07617368	-0.07595064	-0.08275966	-0.08675466	-0.08637749	-0.09900851	 0.04916062	 0.08681139	-0.06882296	 0.09347810	-0.07969804	 0.01292071	-0.10798335
E2F.1	-0.54490288	-0.40548909	 0.06792610	-0.40607591	-0.15070307	-0.17556319	-0.07276233	 0.62366024	-0.06728159	 4.70837672	 1.70722338	 5.72707434	 1.64526187	 0.58500858
FOXO1a	-0.14303264	-0.14319047	 0.57308096	-0.32250963	-0.18674912	-0.31988469	-0.61910654	-0.28521094	-0.04748687	 2.14141112	 1.51301344	 1.11440659	-0.09022398	-0.84788241
c.Myc	-0.193035874	-0.131979037	-0.001349459	-0.149702638	-0.126744626	-0.187044202	-0.118026111	 0.202702452	 0.432255472	 0.725905433	 1.888596081	 0.275794680	 0.126698373	-0.514027268
Actin	 0.6563192	-0.2644600	 0.3634024	-0.3870169	 0.3186439	-0.2984962	 0.2936027	-0.3682165	-0.4704936	 1.4823768	 0.2995683	 1.9039697	-0.2328112	-0.3673360
p53.mouseIgG.H.L..goat	-0.03900170	-0.28311650	 0.16574216	-0.34001465	 0.35101519	-0.06564867	-0.01319722	 2.12801613	 0.61639665	 0.44130151	 0.29830426	 0.07885290	 3.29186144	-0.55762826
p21	-0.25376433	-0.23828631	 0.86676041	-0.20414920	 1.34320575	 0.11981909	 0.38838697	 1.54747204	 0.34248201	 1.84847218	 0.59658206	 1.42616167	 3.78731110	 0.09920745
p27Kip1	-0.26740870	-0.24831927	-0.12696248	-0.25845281	-0.18523707	-0.24685846	-0.24589654	-0.08124619	-0.07044344	 1.52369509	 1.97961743	 2.01026903	 0.07083531	-0.01541694
S6.pS235.pS236.	-0.168938707	 1.081226470	 0.090232660	 0.707866631	-0.439144634	-0.222579512	-0.668601947	-0.390942995	-0.227000006	-0.280967912	 0.009245879	-0.353260633	-0.531979236	-0.652208299
H2A.X.pS139.	-0.14273717	-0.13647744	 0.31522491	-0.13389497	 0.68689321	-0.13333023	 0.15452448	 0.00758286	 0.04829871	 2.66949850	 1.53535618	 6.10477543	 0.17174136	 0.80661957
Cyclin.E1	-0.27381961	-0.17315970	 0.17168525	-0.17153615	-0.16882598	-0.17699094	-0.16745469	 0.19290432	 0.18633410	 2.05295746	 1.28414691	 1.20954138	 0.43614011	-0.04864995
HCSCellMaskDeepRedReagent	-0.703030921	-0.418532630	 0.584190806	-0.320843731	 0.421687873	-0.271222273	-0.006728005	-0.290255097	 0.049738581	 1.396049063	 0.306889916	 0.851692746	 0.118717381	-1.084417130
FOXO3a.rabbitIgG.H.L..goat.highlycross.adsorbed	 0.0291854	-0.2895936	 0.5049345	-0.3683121	 0.2168859	-0.1711273	-0.1106532	-0.3220356	-0.2519203	 0.5781592	-0.1405672	 0.2663194	-0.1123661	-0.5919118
ERK.1.pT202.pY204..ERK.1.pT202..ERK.2.pT185.pY187..ERK.2.pT185.	 1.10566810	-0.14733666	 0.76307697	-0.17292096	 0.57677667	 0.59530345	 0.92655696	-0.01785346	-0.13218212	 1.21214540	-0.19101900	 1.03646213	 0.45321248	-0.21624342
Cyclin.D1	-0.17262939	-0.32069890	 0.37808418	-0.29110920	-0.05107433	-0.10501999	-0.22131346	 1.03087462	 0.09493764	 4.24132059	 0.90118270	 3.90897098	 2.91309157	 0.47864315
KI.67	-0.32277320	-0.06100906	-0.34537216	-0.14352789	-0.39032967	-0.39980660	-0.53560121	 1.15262799	 0.82041854	-0.48772488	 0.62038468	-0.56865973	 0.82316903	-0.82933022
EGFR	-0.22940579	 0.58335231	 0.32745610	 0.70364404	-0.37693387	-0.11859618	-0.69926283	-0.45927979	-0.19941886	-0.08195435	 0.04508849	-0.27914606	-0.50448579	-0.68161431
PCNA	-0.2858254	-0.1398945	 0.1205252	-0.2438118	-0.0462246	-0.4351721	-0.5141468	 0.2156179	 0.4644616	 0.7674277	 2.0796749	 0.5084343	 0.0353447	-0.7991080
MitoTrackerGreenReagent	-0.46555325	-0.27625319	 0.43309607	-0.16130895	 0.77611632	 0.25908906	 0.60250462	-0.09083883	-0.25630541	 0.71942892	-0.46912240	 0.73974038	 0.30099254	-1.07513946
