	dmso_0_48_cytosol	dmso_0_48_nucleus
RP.Ap32.ratIgG.H.L.	 1.4660661	-0.5884408
Rb.pS807.pS811..Rb.pS807..Rb.pS811.	 1.7819716	-0.5001767
H3.pS10.	 0.33882542	-0.05374864
E2F.1	 1.0063803	-0.4725936
FOXO1a	 0.5656542	-0.1429935
c.Myc	 0.5978865	-0.4582149
Actin	-0.062268447	 0.002041792
p53.mouseIgG.H.L..goat	 0.7496596	-0.4367879
p21	 0.4569703	-0.2815894
p27Kip1	 0.3638402	-0.3515716
S6.pS235.pS236.	-0.2600424	 0.3258302
H2A.X.pS139.	 0.2817044	-0.2404263
Cyclin.E1	 0.6302212	-0.3035172
HCSCellMaskDeepRedReagent	 0.8143162	-0.4144267
FOXO3a.rabbitIgG.H.L..goat.highlycross.adsorbed	-0.0845035	 0.2472734
ERK.1.pT202.pY204..ERK.1.pT202..ERK.2.pT185.pY187..ERK.2.pT185.	0.3798986	0.2192720
Cyclin.D1	 0.9450577	-0.3461806
KI.67	 1.5194641	-0.6184054
EGFR	-0.07717389	 0.34148440
PCNA	 1.2269470	-0.6807464
MitoTrackerGreenReagent	0.2369093	0.3137493
