cell_line	agent	concentration	GRvalue	cell_count	cell_count__ctrl	cell_count__time0	Replicate
MCF10A-GM (Broad)	Alpelisib	0.0010058	0.95197	14424	15647.25	1536	MCF10A-GM (Broad) R1
MCF10A-GM (Broad)	Alpelisib	0.0031783	0.99979	15641.75	15647.25	1536	MCF10A-GM (Broad) R1
MCF10A-GM (Broad)	Alpelisib	0.010043	0.98382	15227.25	15647.25	1536	MCF10A-GM (Broad) R1
MCF10A-GM (Broad)	Alpelisib	0.031737	0.95991	14621.5	15647.25	1536	MCF10A-GM (Broad) R1
MCF10A-GM (Broad)	Alpelisib	0.10029	0.90623	13323	15647.25	1536	MCF10A-GM (Broad) R1
MCF10A-GM (Broad)	Alpelisib	0.31691	0.9046	13285	15647.25	1536	MCF10A-GM (Broad) R1
MCF10A-GM (Broad)	Alpelisib	1.0014	0.84027	11841	15647.25	1536	MCF10A-GM (Broad) R1
MCF10A-GM (Broad)	Alpelisib	3.1646	0.7513	10030.5	15647.25	1536	MCF10A-GM (Broad) R1
MCF10A-GM (Broad)	Alpelisib	10	0.46293	5491.25	15647.25	1536	MCF10A-GM (Broad) R1
MCF10A-GM (Broad)	Dasatinib	0.0010058	0.95698	14548.5	15647.25	1536	MCF10A-GM (Broad) R1
MCF10A-GM (Broad)	Dasatinib	0.0031783	0.97082	14895.75	15647.25	1536	MCF10A-GM (Broad) R1
MCF10A-GM (Broad)	Dasatinib	0.010043	0.89427	13045.25	15647.25	1536	MCF10A-GM (Broad) R1
MCF10A-GM (Broad)	Dasatinib	0.031737	0.81245	11252.25	15647.25	1536	MCF10A-GM (Broad) R1
MCF10A-GM (Broad)	Dasatinib	0.10029	0.59406	7320	15647.25	1536	MCF10A-GM (Broad) R1
MCF10A-GM (Broad)	Dasatinib	0.31691	0.35448	4242.75	15647.25	1536	MCF10A-GM (Broad) R1
MCF10A-GM (Broad)	Dasatinib	1.0014	0.26215	3349.5	15647.25	1536	MCF10A-GM (Broad) R1
MCF10A-GM (Broad)	Dasatinib	3.1646	0.043078	1769	15647.25	1536	MCF10A-GM (Broad) R1
MCF10A-GM (Broad)	Dasatinib	10	-0.087954	1128.5	15647.25	1536	MCF10A-GM (Broad) R1
MCF10A-GM (Broad)	Etoposide	0.0010058	1.0188	16146.5	15647.25	1536	MCF10A-GM (Broad) R1
MCF10A-GM (Broad)	Etoposide	0.0031783	1.009	15885.25	15647.25	1536	MCF10A-GM (Broad) R1
MCF10A-GM (Broad)	Etoposide	0.010043	0.9954	15527	15647.25	1536	MCF10A-GM (Broad) R1
MCF10A-GM (Broad)	Etoposide	0.031737	0.92406	13745	15647.25	1536	MCF10A-GM (Broad) R1
MCF10A-GM (Broad)	Etoposide	0.10029	0.76895	10373	15647.25	1536	MCF10A-GM (Broad) R1
MCF10A-GM (Broad)	Etoposide	0.31691	0.47682	5667.75	15647.25	1536	MCF10A-GM (Broad) R1
MCF10A-GM (Broad)	Etoposide	1.0014	0.33659	4058	15647.25	1536	MCF10A-GM (Broad) R1
MCF10A-GM (Broad)	Etoposide	3.1646	0.21916	2982.5	15647.25	1536	MCF10A-GM (Broad) R1
MCF10A-GM (Broad)	Etoposide	10	0.039941	1751.25	15647.25	1536	MCF10A-GM (Broad) R1
MCF10A-GM (Broad)	Neratinib	0.00031783	1.0179	16122.25	15647.25	1536	MCF10A-GM (Broad) R1
MCF10A-GM (Broad)	Neratinib	0.0010043	0.99713	15572.25	15647.25	1536	MCF10A-GM (Broad) R1
MCF10A-GM (Broad)	Neratinib	0.0031737	1.0017	15691	15647.25	1536	MCF10A-GM (Broad) R1
MCF10A-GM (Broad)	Neratinib	0.010029	1.0087	15876	15647.25	1536	MCF10A-GM (Broad) R1
MCF10A-GM (Broad)	Neratinib	0.031691	0.86007	12273	15647.25	1536	MCF10A-GM (Broad) R1
MCF10A-GM (Broad)	Neratinib	0.10014	0.63059	7897	15647.25	1536	MCF10A-GM (Broad) R1
MCF10A-GM (Broad)	Neratinib	0.31646	0.39398	4671.5	15647.25	1536	MCF10A-GM (Broad) R1
MCF10A-GM (Broad)	Neratinib	1	0.17472	2633.75	15647.25	1536	MCF10A-GM (Broad) R1
MCF10A-GM (Broad)	Neratinib	3.16	0.15713	2504	15647.25	1536	MCF10A-GM (Broad) R1
MCF10A-GM (Broad)	Paclitaxel	0.00010058	0.98452	15245.25	15647.25	1536	MCF10A-GM (Broad) R1
MCF10A-GM (Broad)	Paclitaxel	0.00031783	0.99095	15411.5	15647.25	1536	MCF10A-GM (Broad) R1
MCF10A-GM (Broad)	Paclitaxel	0.0010043	0.91159	13449	15647.25	1536	MCF10A-GM (Broad) R1
