ratio	agent	concentration(UM)	time(hr)	B1	B2	B3	Ave	S.D.
phospho Akt/ alpha Tubulin	Palbociclib	0	6	0.043	0.041	0.035	0.041	0.004
phospho Akt/ alpha Tubulin	Palbociclib	0.32	6	0.054	0.053	0.043	0.052	0.006
phospho Akt/ alpha Tubulin	Palbociclib	1	6	0.044	0.041	0.043	0.043	0.002
phospho Akt/ alpha Tubulin	Palbociclib	3.2	6	0.051	0.046	0.053	0.049	0.004
phospho Erk/ alpha Tubulin	Palbociclib	0	6	0.454	0.412	0.375	0.404	0.04
phospho Erk/ alpha Tubulin	Palbociclib	0.32	6	0.505	0.39	0.554	0.473	0.085
phospho Erk/ alpha Tubulin	Palbociclib	1	6	0.339	0.322	0.341	0.345	0.011
phospho Erk/ alpha Tubulin	Palbociclib	3.2	6	0.284	0.394	0.489	0.393	0.102
cyclin D/ alpha Tubulin	Palbociclib	0	6	0.02	0.018	0.018	0.019	0.001
cyclin D/ alpha Tubulin	Palbociclib	0.32	6	0.03	0.03	0.028	0.03	0.001
cyclin D/ alpha Tubulin	Palbociclib	1	6	0.02	0.028	0.024	0.023	0.004
cyclin D/ alpha Tubulin	Palbociclib	3.2	6	0.03	0.035	0.033	0.032	0.002
