ratio	agent	concentration(UM)	time(hr)	B1	B2	B3	Ave	S.D.
phospho Akt/ alpha Tubulin	Palbociclib	0	24	0.035	0.03	0.027	0.032	0.004
phospho Akt/ alpha Tubulin	Palbociclib	0.32	24	0.056	0.051	0.047	0.052	0.004
phospho Akt/ alpha Tubulin	Palbociclib	1	24	0.041	0.04	0.039	0.04	0.001
phospho Akt/ alpha Tubulin	Palbociclib	3.2	24	0.061	0.052	0.059	0.058	0.005
phospho Erk/ alpha Tubulin	Palbociclib	0	24	0.209	0.214	0.188	0.2	0.014
phospho Erk/ alpha Tubulin	Palbociclib	0.32	24	0.549	0.338	0.281	0.497	0.141
phospho Erk/ alpha Tubulin	Palbociclib	1	24	0.291	0.293	0.478	0.29	0.107
phospho Erk/ alpha Tubulin	Palbociclib	3.2	24	0.264	0.411	0.418	0.376	0.087
cyclin D/ alpha Tubulin	Palbociclib	0	24	0.015	0.013	0.015	0.014	0.001
cyclin D/ alpha Tubulin	Palbociclib	0.32	24	0.028	0.028	0.028	0.028	0
cyclin D/ alpha Tubulin	Palbociclib	1	24	0.025	0.031	0.027	0.027	0.003
cyclin D/ alpha Tubulin	Palbociclib	3.2	24	0.025	0.033	0.031	0.029	0.004
