	paclitaxel_1e-04_72_cytosol	paclitaxel_0.0031623_72_cytosol	paclitaxel_0.01_72_cytosol	paclitaxel_0.00032_72_cytosol	paclitaxel_0.1_72_cytosol	paclitaxel_0.031623_72_cytosol	paclitaxel_0.001_72_cytosol	paclitaxel_1e-04_72_nucleus	paclitaxel_0.0031623_72_nucleus	paclitaxel_0.01_72_nucleus	paclitaxel_0.00032_72_nucleus	paclitaxel_0.1_72_nucleus	paclitaxel_0.031623_72_nucleus	paclitaxel_0.001_72_nucleus
RP.Ap32.ratIgG.H.L.	-0.46023288	-0.22514122	-0.05483259	-0.51022957	 0.12725154	 0.09383397	-0.46952074	 0.06604084	 1.64025163	 1.88082639	-0.15601337	-0.56692862	-0.23854402	 0.74469118
Rb.pS807.pS811..Rb.pS807..Rb.pS811.	-0.2637673	-0.4743945	-0.4693030	-0.3434628	-0.4055565	-0.4661699	-0.4119261	 0.6784405	-0.2949114	-0.5682643	 0.3565683	-0.6090058	-0.6079227	 0.8478992
H3.pS10.	-0.08297929	-0.08180598	-0.03792776	-0.06958937	 0.02772300	 0.01971838	-0.07109233	 0.08538551	-0.01909984	-0.07206387	 0.07885220	-0.10170267	-0.09334366	 0.06095620
E2F.1	-0.48397013	-0.05746027	 0.10622809	-0.42072321	 0.11867169	 0.18996535	-0.35773065	 0.08565786	 4.84174720	 2.10422793	-0.06558175	-0.33379650	 0.20182365	 0.90185250
FOXO1a	 0.01173037	 0.15427573	 0.67849660	-0.64591913	-0.03815020	 0.04646040	-0.56184669	 0.31438628	 2.54615575	-0.26145439	 0.22849484	-1.20817248	-0.75196879	 0.88211343
c.Myc	-0.15852531	-0.16593455	-0.05966318	-0.19228541	-0.17435300	 0.06243003	-0.19655058	 0.44045796	 0.07351847	-0.45504847	 0.61978470	-0.52158576	-0.49676852	 0.57693978
Actin	 0.05291679	 0.46399225	 0.87541211	-0.51011614	 1.84019667	 1.26264514	-0.39023406	-0.15390450	 4.36791670	 1.26232066	-0.32963708	-0.67157962	-0.02527597	 0.42284852
p53.mouseIgG.H.L..goat	-0.15815348	 0.72273814	 1.41690851	-0.41321993	 1.47269004	 1.52016663	-0.15967671	 0.36435813	 2.41081372	 2.58665092	 0.15165487	-0.51519272	 0.02880053	 0.80215296
p21	-0.29782740	 0.41340651	 0.50145558	-0.28563078	 0.16644965	 0.20607693	-0.12393078	 0.26341216	 3.18356785	 1.15033007	 0.14011125	-0.23932496	 0.09305165	 0.85403009
p27Kip1	-0.254751271	-0.121113837	 0.002639443	-0.272777438	-0.155622562	-0.127822772	-0.265124162	 0.329173863	 2.561791315	-0.122807362	 0.216350206	-0.383371237	-0.185633259	 0.564466267
S6.pS235.pS236.	 0.62405879	-0.03120375	-0.02960926	-0.11288070	-0.33030377	-0.39383810	-0.30924130	 0.01602545	-0.02680727	-0.61406731	-0.04701902	-0.66011039	-0.60627332	 0.17766995
H2A.X.pS139.	-0.13490430	-0.07016270	 0.01240071	-0.15143882	-0.10418402	-0.09621435	-0.13381321	 0.35416610	 0.91382520	-0.00178297	 0.18443516	-0.19029428	-0.05926573	 0.61557790
Cyclin.E1	-0.24634347	-0.11935033	 0.01598664	-0.27007512	-0.26833415	 0.12735789	-0.26876614	 0.43920998	 0.42725350	-0.20655091	 0.36391706	-0.29963232	-0.26316209	 0.69645943
HCSCellMaskDeepRedReagent	-0.62638964	 0.24530175	 1.95492506	-0.32684880	 0.68590075	 1.33483699	-0.15674764	-0.24530478	 1.84497694	 0.94604300	 0.05585367	-1.19512393	-0.54964560	 0.38109961
FOXO3a.rabbitIgG.H.L..goat.highlycross.adsorbed	-0.14476721	 0.66532507	 1.42034737	-0.47051815	 1.49918747	 1.08036791	-0.31272686	-0.10681832	 2.74883058	 1.42159352	-0.16032218	-0.59189615	 0.02459011	 0.11558844
ERK.1.pT202.pY204..ERK.1.pT202..ERK.2.pT185.pY187..ERK.2.pT185.	 0.39079853	 0.58369723	 0.88598873	-0.36985279	 0.70567829	 0.73179488	-0.20265147	-0.14726809	 2.14719759	 1.05568319	-0.11853926	-0.43788575	-0.03107455	 0.22197128
Cyclin.D1	-0.32064504	-0.05766877	 0.20939655	-0.40364099	-0.09071764	-0.05653172	-0.32668301	 0.25221612	 3.18009319	 0.26200123	 0.09845769	-0.39988377	-0.05209939	 1.13795495
KI.67	-0.1299434	-0.3558310	-0.3666418	-0.3047119	-0.4541311	-0.4634720	-0.3630069	 1.0028215	-0.3650483	-0.8181338	 0.5526646	-0.8430265	-0.8279473	 1.2450443
EGFR	 0.16426891	-0.05759392	 0.26889505	-0.02567290	-0.42273527	-0.35611059	-0.18738745	 0.01626002	 0.13263585	-0.54964694	-0.01129566	-0.69659759	-0.59115098	 0.22846745
PCNA	-0.16926748	-0.36132619	-0.29233442	-0.36495014	-0.55290913	-0.49451256	-0.40945780	 1.09017490	-0.05440656	-0.83208535	 0.82278740	-0.90968279	-0.85332965	 1.10860030
MitoTrackerGreenReagent	-0.48495024	 0.76178151	 2.01236030	-0.24813984	 2.65710786	 2.29012923	 0.13725275	-0.38162692	 0.88812719	 1.94672863	-0.28319944	-1.08719550	-0.70246605	 0.02216489
