	palbociclib_3.1623_24_cytosol	palbociclib_0.031623_24_cytosol	palbociclib_10_24_cytosol	palbociclib_0.1_24_cytosol	palbociclib_0.31623_24_cytosol	palbociclib_0.01_24_cytosol	palbociclib_1_24_cytosol	palbociclib_3.1623_24_nucleus	palbociclib_0.031623_24_nucleus	palbociclib_10_24_nucleus	palbociclib_0.1_24_nucleus	palbociclib_0.31623_24_nucleus	palbociclib_0.01_24_nucleus	palbociclib_1_24_nucleus
RP.Ap32.ratIgG.H.L.	-0.3510877	-0.3019318	-0.4075359	-0.4190598	-0.3456923	-0.2915656	-0.3925244	 0.5271510	 0.3231113	 0.3956115	 0.4637885	 0.2716111	 0.2778827	 0.8208658
Rb.pS807.pS811..Rb.pS807..Rb.pS811.	-0.49452885	-0.20787069	-0.50656111	-0.34277604	-0.38361475	-0.21530102	-0.43858307	-0.19012148	 0.32705919	-0.36663516	 0.20523742	 0.03728348	 0.06902575	-0.08168540
H3.pS10.	-0.069520621	-0.051721051	-0.069335786	-0.064003153	-0.067870803	-0.028632370	-0.075752677	-0.107835790	-0.022701232	-0.139867267	-0.055747751	-0.094676300	-0.026339413	 0.009330909
E2F.1	-0.05335639	-0.19032357	-0.18335032	-0.19099912	-0.13750474	-0.16851601	-0.22864512	 0.41990936	 0.00438115	 0.44783472	 0.07885192	-0.18392533	-0.12379342	 0.23298424
FOXO1a	 0.73781112	 0.52056107	 0.24584413	 0.27343265	-0.01377169	-0.32663804	-0.27691507	-0.30002242	-0.71584186	-0.37416772	-0.80400578	-0.89686061	-0.95661531	-0.88241781
c.Myc	-0.04930587	-0.05305870	-0.08451856	-0.04569341	-0.06484069	-0.08982378	-0.12022976	-0.44238425	-0.54362206	-0.46046445	-0.60670204	-0.62181021	-0.71377835	-0.76400681
Actin	 0.4814592	 0.5734494	 0.1417347	 0.2113859	-0.1316272	-0.1265210	-0.3144688	-0.4649904	-0.6360494	-0.5747741	-0.8019439	-0.8758392	-0.8615955	-0.7968451
p53.mouseIgG.H.L..goat	-0.394203323	-0.356516567	-0.432878637	-0.378372611	-0.376384282	-0.324352940	-0.392961071	 0.114660434	-0.019647243	 0.006640013	 0.066935071	 0.025938246	-0.076326006	-0.029301059
p21	-1.813969e-01	-1.844119e-01	-2.432622e-01	-1.581053e-01	-1.520713e-01	-1.640341e-01	-1.786078e-01	 1.914126e-01	-9.821500e-02	 1.064283e-01	-5.318582e-02	-1.142488e-01	-1.652609e-01	-7.294095e-05
p27Kip1	-0.1728668	-0.1852036	-0.2163485	-0.2099740	-0.2173211	-0.2055705	-0.2393420	-0.2660851	-0.3441618	-0.2716618	-0.3757022	-0.4051172	-0.4113345	-0.3834730
S6.pS235.pS236.	 0.245002054	 0.121803712	 0.006685775	 0.307148657	 0.137014092	-0.425482027	-0.341781247	-0.102011611	-0.545429021	-0.104321789	-0.453587749	-0.494417066	-0.622110499	-0.637346046
H2A.X.pS139.	-0.11865469	-0.09510589	-0.13884345	-0.11728453	-0.11916369	-0.11623218	-0.15983862	-0.35271249	-0.33209095	-0.33223999	-0.35050849	-0.39680117	-0.39432532	-0.40411998
Cyclin.E1	-0.07075455	-0.12374561	-0.10546715	-0.02518906	-0.04620000	-0.22105386	-0.22194381	 0.07149509	-0.38517457	 0.13272580	-0.38548723	-0.45040933	-0.50158919	-0.46682020
HCSCellMaskDeepRedReagent	 0.32409903	 0.36897328	 0.56971314	 0.30713716	 0.20346140	 0.34491899	 0.20686087	 1.13513099	 0.53982621	 1.23534079	 0.28629742	-0.09220516	 0.41882730	 0.62434890
FOXO3a.rabbitIgG.H.L..goat.highlycross.adsorbed	 0.15004359	-0.11739043	 0.15656494	-0.02495034	-0.10193891	-0.22883317	-0.12475765	-0.64929983	-0.90081708	-0.61142196	-0.90014633	-0.92196093	-0.96137481	-0.84152834
ERK.1.pT202.pY204..ERK.1.pT202..ERK.2.pT185.pY187..ERK.2.pT185.	 0.74622945	 0.15165271	 0.71854873	 0.61355989	 0.57808331	 0.22169835	 0.51675672	 0.05197356	-0.78423142	 0.01787297	-0.65324495	-0.61552606	-0.79964766	-0.40757217
Cyclin.D1	 0.25260886	-0.09967449	 0.07482410	 0.13121388	 0.08399281	-0.12942071	-0.07381881	 0.79622973	-0.40871858	 0.80268575	-0.21999899	-0.24625508	-0.52481327	-0.14578126
KI.67	-0.4813496123	-0.1940573870	-0.4984202250	-0.4277506294	-0.4534596332	-0.3843141352	-0.5068367726	-0.2372387568	 0.0661356408	-0.3378898683	 0.2480101053	 0.0009475429	-0.1519904120	-0.4746676633
EGFR	 0.6530480	 0.5395311	 0.4443558	 0.6867117	 0.3088607	-0.1241423	-0.1556911	-0.4768655	-0.6157268	-0.4557348	-0.6386132	-0.6842171	-0.6805928	-0.6955939
PCNA	-0.4312944	-0.2239151	-0.4707272	-0.3835195	-0.4414589	-0.4110600	-0.5176270	-0.4158061	-0.1823863	-0.5214160	-0.3542975	-0.4803681	-0.5084809	-0.7469815
MitoTrackerGreenReagent	-0.20698752	-0.24470245	 0.46962190	 0.52585696	 0.53480989	 0.15043557	 0.24377457	 0.07575498	-0.36614703	 0.39775063	-0.20908579	-0.32897506	-0.48989962	-0.01180911
