	palbociclib_3.1623_72_cytosol	palbociclib_0.031623_72_cytosol	palbociclib_10_72_cytosol	palbociclib_0.1_72_cytosol	palbociclib_0.31623_72_cytosol	palbociclib_0.01_72_cytosol	palbociclib_1_72_cytosol	palbociclib_3.1623_72_nucleus	palbociclib_0.031623_72_nucleus	palbociclib_10_72_nucleus	palbociclib_0.1_72_nucleus	palbociclib_0.31623_72_nucleus	palbociclib_0.01_72_nucleus	palbociclib_1_72_nucleus
RP-Ap32	-0.4086019	-0.4532038	-0.4617813	-0.4357188	-0.4677369	-0.4702133	-0.2556880	 0.6771318	-0.1899525	 3.4562168	 0.3602199	 1.0460144	 0.9072711	 0.2550289
Rb(pS807;pS811)	-0.4271376	-0.2311441	-0.4596793	-0.3125893	-0.3362021	-0.3068777	-0.3555211	 0.5815080	 0.4524892	 0.6633786	 1.0116848	 1.1079347	 0.6087475	 0.7199876
H3(pS10)	-0.08645641	-0.07600383	-0.08754345	-0.08395189	-0.09277598	-0.07674049	-0.06755391	 0.15131045	 0.06543764	 0.03900391	 0.11213843	 0.11373682	 0.08920369	 0.10285933
E2F-1	-0.22218683	-0.35419048	-0.24120305	-0.31533706	-0.43113390	-0.40935723	-0.18158545	 2.26363474	-0.05226053	 2.22444658	 0.66390203	 0.51916183	-0.03206900	 1.70205087
FOXO1a	 0.5430833	-0.1495141	 0.3885422	-0.2777459	-0.4107077	-0.5446341	-0.3433972	 1.7883229	 0.4348136	 0.3701736	 0.7734360	 0.4577539	-0.2858737	 1.4525825
c-Myc	-0.1000739	-0.1348561	-0.1016543	-0.1661132	-0.1500607	-0.1970794	-0.1800570	 2.4163564	 0.9232487	 0.4114249	 0.8339468	 1.1163825	 0.1937954	 1.5953439
Actin	 0.33439655	-0.06815185	 0.13976004	-0.31468984	-0.44129751	-0.45412910	-0.26978069	 0.01122851	-0.36407415	-0.05815483	 0.09669622	-0.33081984	-0.54837241	 0.42553309
p53	 0.08312298	-0.32917767	-0.11669010	-0.24853228	-0.18975685	-0.37964191	-0.32875129	 0.40574491	 0.12439106	 1.50441389	 0.33973194	 0.85826400	 0.92491121	 0.09689011
p21	-0.2255632	-0.2465165	-0.2467750	-0.2482031	-0.2742039	-0.2786801	-0.2172769	 0.4635249	 0.1546405	 0.9742506	 0.3626624	 0.4585726	 0.3214599	 0.3466458
p27Kip1	-0.216182164	-0.236649951	-0.224942359	-0.250768994	-0.260653725	-0.257121678	-0.239900076	 0.445861010	 0.247615265	 0.131215478	 0.544983144	 0.001184235	-0.065516074	 1.079957221
S6(pS235;pS236)	 2.08973700	 0.10269245	 1.86943055	 0.57174974	 0.41547414	-0.18814804	-0.34715548	 0.02669727	-0.01222693	-0.46967111	 0.16002708	-0.08502611	-0.33894964	 0.02164251
H2A.X(pS139)	-0.131411397	-0.127839241	-0.123969664	-0.137327034	-0.149783328	-0.157016114	-0.142561045	 0.462684594	 0.281368337	-0.004597152	 0.659580900	 0.149094558	-0.059282553	 0.944205690
Cyclin-E1	 0.010462553	-0.166540143	 0.022246924	-0.206853383	-0.245905370	-0.266442640	-0.210688977	 1.908215039	 0.477693246	 0.691265120	 0.993879857	 0.708895394	 0.003558064	 1.749887780
HCSCellMaskDeepRed	 0.01663559	-0.32701371	 0.12276249	-0.48789957	-0.70833834	-0.39815991	-0.16457086	 1.48174779	 0.32030376	 0.56377923	 0.20329922	 0.45481590	-0.18619008	 0.58453250
FOXO3a	 0.41440420	-0.28230275	 0.48504507	-0.25170084	-0.28908456	-0.45951439	-0.22204958	 0.04583332	-0.09792434	 0.25008245	-0.21406661	-0.21162750	-0.23288606	-0.20990221
ERK-1/ERK-2*	 1.73830802	-0.23190740	 1.59116943	 0.09960337	 0.21616065	-0.23612062	 0.55981949	 0.59752513	-0.07827598	 1.19653544	-0.04749931	 0.10446599	-0.20298614	 0.22726457
Cyclin-D1	 0.40646243	-0.32600035	 0.39616990	-0.20835819	-0.22709245	-0.41660677	-0.12141879	 3.17061868	 0.07732756	 3.80395781	 0.90814709	 0.98263387	 0.07604207	 2.21201920
KI-67	-0.2789414	-0.1398679	-0.3465215	-0.1542937	-0.1914587	-0.2399104	-0.3739426	 0.6633697	 0.5420323	 1.1083155	 1.2799338	 1.1451923	 0.8831881	 0.9334642
EGFR	 1.24382706	 0.28288811	 1.23541196	 0.16092910	-0.14484561	-0.05943389	-0.26144767	 0.30967388	 0.06441498	-0.39499029	 0.19817521	-0.12993101	-0.45650369	 0.23342050
PCNA	-0.36432874	-0.13755900	-0.40829048	-0.32024043	-0.37518695	-0.33558395	-0.48419980	 0.90413466	 0.97433725	-0.07006827	 1.51390082	 0.76834611	 0.32391431	 1.90444837
MitoTrackerGreen	 0.336758897	-0.265246108	 0.732481952	 0.006500149	-0.060448534	-0.306472092	 0.339839854	 0.177275966	-0.242073894	 0.680523167	-0.353593150	-0.239832712	-0.341770496	-0.241464204
