	1_up_0.04	1_up_0.12	1_up_0.37	1_up_01.11	1_up_03.33	1_up_10.0	2_down_0.04	2_down_0.12	2_down_0.37	2_down_01.11	2_down_03.33	2_down_10.0
VDR_23849224_ChIP-Seq_CD4+_Human	0.0	17.0091120992	24.4338285879	34.2808591503	34.9502881604	38.5605038657	-18.4392306257	-28.0459995797	-62.9678620883	-14.8433004669	-0.0	-26.2645910322
FOXP1_21924763_ChIP-Seq_HESC_Human	0.0	20.6735766495	17.5720014311	26.2129246844	29.9814075967	37.2430750058	-17.4646662608	-7.0808984766	-17.8317483663	-14.7076347055	-30.658927634	-29.2813355592
CHD1_19587682_ChIP-ChIP_MESC_Mouse	5.33030095133	0.0	8.86160129321	7.9868668594	17.0083549513	18.5824842068	-2.05595389433	-38.8972275093	-8.50567967055	-0.0	-4.84557229519	-0.0
MITF_21258399_ChIP-Seq_MELANOMA_Human	25.2291878651	43.1275378763	40.7605362692	45.4563576081	51.9583098351	48.4093510011	-49.3212967591	-33.9522054089	-30.6815697445	-11.0530130889	-59.899344429	-44.3515989744
EOMES_20176728_ChIP-ChIP_TROPHOBLAST STEM CELLS_Mouse	0.0	13.8335451193	13.9191649543	18.5216053004	21.6807066126	17.3813485453	-0.0	-21.141561718	-46.465899654	-21.2797161344	-53.230944318	-31.4178737394
FOXM1_25889361_ChIP-Seq_OE33 AND U2OS_Human	7.10264849593	15.1731245738	18.5744433491	13.5138268966	21.8496245805	31.0605458032	-0.0	-5.80482773616	-4.50795607899	-5.27403395532	-0.0	-11.7067674698
ASXL1_24218140_ChIP-Seq_BMDM_Mouse	0.0	0.0	0.0	9.56720844653	44.4663784632	29.4266065061	-0.0	-11.1993812396	-0.0	-3.18311453685	-0.0	-0.294438146973
PPARG_23326641_ChIP-Seq_C3H10T1-2_Mouse	0.0	0.0	3.51434759454	0.0	31.1069261837	37.3920400043	-12.2469989303	-14.9895313016	-14.8272579778	-0.721330485434	-1.78547626231	-0.0
HOXB4_20404135_ChIP-ChIP_EML_Mouse	0.0	4.4055175289	3.16147235342	8.40527581596	23.3485378901	12.2743120978	-6.30155136389	-0.0	-1.02277721776	-0.0	-1.50506491619	-10.8012631362
POU3F2_20337985_ChIP-ChIP_501MEL_Human	0.0	9.65740372266	15.3668738067	6.67096791417	57.8587390198	42.753954673	-24.0214220991	-0.0	-0.0	-7.24418576071	-0.0	-0.0
EWS-FLI1_20517297_ChIP-Seq_SK-N-MC_Human	0.0	0.0	0.0	0.0	6.84178291903	10.2203833878	-0.0	-9.11703235415	-0.0	-0.0	-0.0	-0.0
YY1_23942234_ChIP-Seq_MYOBLASTS AND MYOTUBES_Mouse	4.04008447549	0.0	5.66760134432	27.5838737856	39.0189239861	18.3450189524	-1.63265325032	-2.20841330183	-10.1733235263	-1.26068948412	-0.0	-0.0
HNF4A_19761587_ChIP-ChIP_CACO-2_Human	0.0	0.595922953341	0.0	0.0	16.414811044	25.2058300048	-2.84214144876	-3.95345143663	-0.0	-4.89203550722	-0.0	-0.0
CREB1_23762244_ChIP-Seq_HIPPOCAMPUS_Rat	32.5274433687	6.85356840129	34.2798061588	49.1498932305	42.3799619567	68.6090954242	-7.29379038473	-46.1721157445	-0.0	-9.4011396817	-0.0	-24.2537845101
SMARCA4_20176728_ChIP-ChIP_TROPHOBLAST STEM CELLS_Mouse	4.6705607481	12.2930351085	8.7174201436	7.31389574649	21.9807808929	28.3709870809	-0.0	-3.2348208805	-14.2709733584	-12.0407999772	-6.13119045244	-25.6153236788
ATF3_23680149_ChIP-Seq_GBM1-GSC_Human	0.0	10.9480531594	6.39641263779	4.34905825827	25.2827445734	48.3096863602	-60.2116591556	-50.5381707856	-47.64795249	-78.0831108877	-106.671532951	-118.520156839
STAT3_1855785_ChIP-Seq_MESC_Mouse	0.0	0.0	0.0	0.0	0.1662563518	0.428072314746	-0.0	-4.50657927324	-0.0	-3.14533092735	-17.1052850573	-38.8753267835
SOX17_20123909_ChIP-Seq_XEN_Mouse	0.0	0.0	0.0	0.0	3.11763083854	10.9082709257	-3.17229522098	-6.39091040198	-19.8955871878	-14.402764215	-26.0619929702	-5.99991497278
TOP2B_26459242_ChIP-Seq_MCF7_Human	0.0	0.0285560253546	0.0	0.0	8.0434870645	28.471143469	-7.33707210813	-0.0	-0.0	-0.0	-0.0	-0.0
TFEB_21752829_ChIP-Seq_HELA_Human	4.32455310334	0.0	0.0	10.0622378607	50.9258623456	20.0684191124	-9.72193608744	-2.44332495365	-18.6198191135	-0.0	-7.04453794983	-7.55018715602
KDM5B_21448134_ChIP-Seq_MESC_Mouse	15.2871197902	31.0037034666	37.8429203212	18.2611973644	54.249253268	46.0465150767	-24.0603650542	-4.60976621807	-20.6883032817	-16.2312656702	-0.0	-0.0
EGR1_19032775_ChIP-ChIP_M12_Human	0.0	0.0	0.0	3.6576604377	0.0	6.40742002633	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
CREM_20920259_ChIP-Seq_GC1-SPG_Mouse	37.0843580141	27.1966002833	42.780273986	25.2984607512	72.4423398657	60.4693960062	-19.1441842576	-27.2551143275	-35.338241421	-14.6769564586	-4.27270368976	-25.3669392117
FOXO3_23340844_ChIP-Seq_DLD1_Human	0.0	18.9454462756	0.696688771642	28.8277006429	17.856492791	23.7989278769	-2.41644729135	-3.44163426819	-0.0	-0.0	-17.9339957969	-15.1658913484
WT1_25993318_ChIP-Seq_PODOCYTE_Human	0.0	19.2096619353	8.74431438582	20.3638634995	13.651505436	21.646509484	-0.0	-9.40804686629	-2.77316926953	-0.0	-13.9885881395	-0.0
PRDM5_23873026_ChIP-Seq_MEF_Mouse	4.616423324	3.36771428674	4.75931215934	11.1480741942	4.74416150632	43.2206130589	-7.62973969865	-0.0	-21.4023051167	-0.0	-0.0	-0.0
RUNX1_21571218_ChIP-Seq_MEGAKARYOCYTES_Human	36.3203906704	41.2453072387	26.7804352125	38.8219568051	51.9727643394	49.0779022479	-44.4820655581	-30.5228399001	-47.6160649549	-37.9381934444	-46.0056634064	-38.6732978179
FOXP2_23625967_ChIP-Seq_PFSK-1 AND SK-N-MC_Human	18.1197320823	15.3544784179	25.4466021084	10.2105144301	30.2626493188	36.152857512	-3.63565479693	-0.0	-0.0	-0.0	-0.539274343754	-0.0
TP53_22573176_ChIP-Seq_HFKS_Human	0.0	4.22739502933	24.5697980502	13.9735653498	24.1801583698	10.3618727322	-18.6175240298	-0.0	-0.0	-0.0	-0.0	-0.0
YAP1_20516196_ChIP-Seq_MESC_Mouse	7.17507236811	41.7827647276	33.3877185281	25.995654533	47.2931648536	37.0240196032	-0.0306807351134	-1.94785530402	-4.84977624592	-3.73631726937	-2.34112879795	-5.10589060939
PIAS1_25552417_ChIP-Seq_VCAP_Human	0.0	0.363766194125	2.28008308361	0.0	12.6201048283	3.03691238845	-22.5087603147	-0.0	-0.0	-4.13278113445	-0.0	-0.0
PBX1_22567123_ChIP-ChIP_OVCAR3_Human	0.0	0.0	0.0905782653155	0.0	0.0	16.6433515975	-2.73924240091	-0.0	-0.0	-0.440522131555	-0.0	-0.458727578446
KLF5_20875108_ChIP-Seq_MESC_Mouse	0.0	0.0	0.0	0.0	0.0	5.07405326909	-0.0	-1.78322123681	-10.7341454324	-0.0	-11.4960812981	-0.0
EWS-ERG_20517297_ChIP-Seq_CADO-ES1_Human	0.0	0.0	0.0	0.0	0.0	3.20611163529	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
ZIC3_20872845_ChIP-ChIP_MESC_Mouse	0.0	0.0	0.0	0.0	0.0	0.345715124491	-0.0	-0.0	-0.0	-0.0	-0.0	-0.113118949715
HIF1A_21447827_ChIP-Seq_MCF7_Human	0.0	0.0	0.0	0.0	0.0	2.99644074191	-0.0	-0.0	-5.48406077152	-0.0	-0.0	-0.0
MNX1_26342078_ChIP-Seq_MIN6-4N_Mouse	0.0	0.0	0.0	0.0	0.0	12.9884180621	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
RXRA_24833708_ChIP-Seq_LIVER_Mouse	0.0	0.0	0.0	0.0	0.0	8.48409851461	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
CIITA_25753668_ChIP-Seq_RAJI_Human	2.40448177881	0.0	0.0	11.8418089976	0.0	15.256131531	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
NUCKS1_24931609_ChIP-Seq_HEPATOCYTES_Mouse	26.4696904944	63.1602031181	49.289563655	54.3810480644	55.6353861641	58.1707598502	-16.1181394508	-31.7356972655	-31.9240118198	-32.8245873788	-69.7832078712	-62.3739998236
MYC_18940864_ChIP-ChIP_HL60_Human	0.0	0.0	3.0297793723	0.309187107242	0.0	13.4071700888	-0.0	-1.04326550455	-0.0	-8.25657011349	-0.0	-0.0
ELF1_17652178_ChIP-ChIP_JURKAT_Human	0.0	0.0	0.373703213882	0.0	0.0	2.37622991796	0.0	0.0	0.0	0.0	0.0	0.0
TAF7L_23326641_ChIP-Seq_C3H10T1-2_Mouse	0.103273534012	0.0	16.2193825438	2.08769887609	4.36733553335	21.1094728114	-0.0	-0.0	-2.10150098629	-10.6487217606	-2.54830418532	-8.46009303833
SOX2_18692474_ChIP-Seq_MESC_Mouse	20.8888195242	3.05053728118	13.805571118	9.13965998955	26.3921483319	32.2595735077	-0.0	-1.85102356234	-14.7157820502	-3.36787350898	-23.0171732372	-5.80811305405
