	dmso_0_72_cytosol	dmso_0_72_nucleus
RP.Ap32.ratIgG.H.L.	-0.4956374	 0.2001492
Rb.pS807.pS811..Rb.pS807..Rb.pS811.	-0.3070345	 0.3646714
H3.pS10.	-0.07465892	 0.07531582
E2F.1	-0.413149855	-0.003803561
FOXO1a	-0.4244125	 0.1099463
c.Myc	-0.1848022	 0.6605257
Actin	-0.4315095	-0.4024663
p53.mouseIgG.H.L..goat	-0.3882212	 0.3367138
p21	-0.2683590	 0.1828504
p27Kip1	-0.2611177	 0.1073426
S6.pS235.pS236.	 0.06141557	-0.20301917
H2A.X.pS139.	-0.14756731	 0.08407926
Cyclin.E1	-0.2569357	 0.2604892
HCSCellMaskDeepRedReagent	-0.4427261	 0.1624482
FOXO3a.rabbitIgG.H.L..goat.highlycross.adsorbed	-0.4212963	-0.1799847
ERK.1.pT202.pY204..ERK.1.pT202..ERK.2.pT185.pY187..ERK.2.pT185.	-0.2887276	-0.1769399
Cyclin.D1	-0.39385700	 0.08075796
KI.67	-0.1951091	 0.6113525
EGFR	 0.04216373	-0.15790924
PCNA	-0.2966460	 0.6028341
MitoTrackerGreenReagent	-0.1884209	-0.3023099
