	1_up_0.04	1_up_0.12	1_up_0.37	1_up_01.11	1_up_03.33	1_up_10.0	2_down_0.04	2_down_0.12	2_down_0.37	2_down_01.11	2_down_03.33	2_down_10.0
positive regulation of defense response (GO:0031349)	0.0	0.0	0.0	0.0	0.0	0.0	-0.357284063543	-1.77007356736	-2.82840000001	-3.9964166805	-14.9076359014	-13.4770242138
regulation of protein serine/threonine kinase activity (GO:0071900)	0.0599678472971	3.10819071538	2.00609857949	0.0696072114608	1.65941813202	1.05295415077	-3.30942698466	-5.11451796066	-2.75600456898	-7.00371178612	-12.0725174711	-11.4454731805
cellular response to external stimulus (GO:0071496)	0.0	0.0	0.0511017433808	0.334582106571	0.0	0.0	-4.16022042185	-1.43372524301	-3.59717946769	-5.3797489378	-16.2794210368	-27.4824163144
regulation of interleukin-6 production (GO:0032675)	0.0	0.0	0.0	0.0	0.0	0.0	-1.963846912	-1.63737728152	-0.0	-3.38450230895	-15.6357090443	-13.9089808571
regulation of response to wounding (GO:1903034)	0.0	0.0	0.0	0.0	0.0	0.0	-3.72059918012	-2.3261290028	-6.52306874856	-3.44499933008	-17.1437328773	-15.5733809621
positive regulation of chemokine production (GO:0032722)	0.0	0.0	0.0	0.0	0.0	0.0	-2.15118418194	-0.0	-0.0	-1.8185795568	-11.3920380384	-14.464458585
regulation of chemokine biosynthetic process (GO:0045073)	0.0	0.0	0.0	0.0	0.0	0.0	-0.959138037797	-0.113577319707	-0.0	-0.0	-11.2176802508	-16.8853317411
cellular response to abiotic stimulus (GO:0071214)	0.0	0.0	0.0	2.45121176179	0.0	0.0	-4.16732560436	-2.68900766017	-2.66286756243	-6.62816247012	-12.1409979727	-27.9887458907
cellular response to mechanical stimulus (GO:0071260)	0.0	0.0	0.0	0.0	0.0	0.0	-4.30961561541	-4.37370333156	-5.75300742797	-4.15008688001	-12.9192631085	-24.6270491247
positive regulation of interleukin-6 production (GO:0032755)	0.0	0.0	0.0	0.0	0.0	0.0	-1.54172988757	-3.3238201472	-0.0	-1.2272843748	-15.3637694197	-15.5741259422
positive regulation of sequence-specific DNA binding transcription factor activity (GO:0051091)	0.0	0.0	0.0	1.15980804456	0.587255890459	0.120526299557	-4.36311097754	-0.0	-3.83941509354	-1.82565281858	-12.3690353104	-11.7958070733
positive regulation of cell activation (GO:0050867)	0.0	0.0	0.641015805393	0.0	1.5754386996	1.60714116208	-1.18110490096	-8.6499711544	-5.11176910619	-2.90224807798	-13.9025917219	-13.5123007516
positive regulation of leukocyte activation (GO:0002696)	0.0	0.0	0.754011340617	0.0	1.82103123384	1.78012583999	-0.483870796357	-9.02692591552	-3.92684299685	-3.16825593263	-14.3554433247	-11.8445977162
response to mechanical stimulus (GO:0009612)	0.0	0.0	0.0	0.0	0.0	0.801540700784	-11.1459732616	-5.9620123435	-6.09196356783	-5.68080966054	-15.8624141077	-17.4051721217
