	vorinostat_0.1_72_cytosol	vorinostat_0.031623_72_cytosol	vorinostat_1_72_cytosol	vorinostat_3.1623_72_cytosol	vorinostat_10_72_cytosol	vorinostat_0.01_72_cytosol	vorinostat_0.31623_72_cytosol	vorinostat_0.1_72_nucleus	vorinostat_0.031623_72_nucleus	vorinostat_1_72_nucleus	vorinostat_3.1623_72_nucleus	vorinostat_10_72_nucleus	vorinostat_0.01_72_nucleus	vorinostat_0.31623_72_nucleus
RP.Ap32	-0.5155584	-0.4878976	-0.3488362	-0.4654287	-0.4222789	-0.4604151	-0.4696474	 1.3986201	 0.1169891	 1.6022140	 0.2826610	-0.6452514	 0.6862878	 1.2175861
Rb.pS807.pS811.	-0.26375459	-0.24348293	-0.37001463	-0.52256469	-0.53988099	-0.35654461	-0.33939766	 1.04690552	 0.58522260	 0.95739841	-0.08826541	-0.64942163	 0.89341088	 1.56289819
H3.pS10.	-0.07261259	-0.06003224	-0.07952064	-0.10834246	-0.09690139	-0.07274405	-0.08110319	 0.08915270	 0.07443694	 0.04958209	-0.04086671	-0.10932500	 0.12704306	 0.16600703
E2F.1	-0.4786030	-0.4332307	-0.1735107	-0.0394940	-0.1300410	-0.4261199	-0.3820795	 0.4195932	-0.1094777	 1.7356116	 4.4068289	-0.3096065	 0.1347127	 0.4679091
FOXO1a	-0.31639960	-0.39416921	-0.58290897	-0.72747876	-0.53247615	-0.61116822	-0.65901144	-0.06164792	 0.17845271	 0.29524199	 0.66691094	-1.00249909	 0.24662071	 0.13112837
c.Myc	-0.16477186	-0.18282974	-0.19490599	-0.23278778	-0.22116270	-0.22025909	-0.22571859	 0.58433620	 0.66568652	 0.46503196	-0.05167684	-0.56628095	 0.96591185	 0.69138721
Actin	-0.19834195	-0.33180164	-0.26443181	-0.35806078	-0.07602058	-0.57434256	-0.58997984	-0.45405781	-0.46643095	-0.16654083	 1.59800242	-0.53543462	-0.26076053	-0.48659582
p53	-0.3035646	-0.2273992	-0.4550613	-0.5043525	-0.4208296	-0.4011144	-0.5161911	 0.8403584	 0.3198211	 0.3158702	-0.1157993	-0.7503248	 0.7407316	 0.6610884
p21	-0.2845159	-0.2788081	-0.1448663	-0.1383309	-0.1337472	-0.2965267	-0.2537715	 0.1757102	 0.1853462	 1.4755193	 1.3221422	-0.3027273	 0.2684075	 0.4365767
p27Kip1	-0.260795678	-0.263747256	-0.241367541	-0.248724340	-0.201122027	-0.273539140	-0.267056472	-0.164460382	-0.024483287	-0.003699686	 1.601152011	-0.237352732	 0.186127777	-0.086062275
S6.pS235.pS236.	 1.1151726	 0.1508889	-0.5041411	-0.5779595	-0.6993450	-0.4094107	-0.3820298	-0.5495628	-0.2269110	-0.4350203	-0.4693332	-0.6686767	-0.1907944	-0.1276693
H2A.X.pS139.	-0.13091717	-0.14520656	-0.13033817	-0.11956368	-0.11125182	-0.15549249	-0.14099513	 0.08724376	 0.13059615	 0.73562673	 1.64712249	-0.05987300	 0.26242752	 0.39601029
Cyclin.E1	-0.2422668	-0.2475897	-0.1701887	-0.1793503	-0.2357189	-0.3048754	-0.2940939	 0.2585370	 0.3391163	 1.1037046	 1.2954278	-0.1876745	 0.4970477	 0.5613795
HCSCellMaskDeepRed	-0.5924334	-0.6774304	-0.2273606	-0.6398122	-0.2023993	-0.6136557	-0.5647183	 0.5087783	 0.3501739	 1.1544492	 0.9553451	-0.9528392	 0.3973449	 0.1365052
FOXO3a	-0.28451779	-0.34854049	-0.32404276	-0.33562973	 0.27636717	-0.49902558	-0.50569829	-0.40126995	-0.19204229	-0.02592427	 0.19410261	-0.54909189	-0.16128465	-0.30380878
ERK.1.ERK.2.	 0.07961363	-0.05477440	-0.08402233	-0.53018581	-0.59661405	-0.25676737	-0.18243360	-0.23350499	-0.03385236	 0.29022438	-0.10907107	-0.59239170	-0.17256863	-0.06547874
Cyclin.D1	-0.35348618	-0.36306930	-0.27924454	-0.41834471	-0.48304471	-0.44083828	-0.41089339	 0.03447359	 0.05375417	 1.34229412	 2.12391656	-0.43386532	 0.17013155	 0.46622988
KI.67	-0.1340981	-0.1125808	-0.4224297	-0.5475481	-0.5497221	-0.3076548	-0.3511191	 0.7233523	 0.6912904	 0.1394752	-0.6138828	-0.8482315	 0.9204248	 1.0967966
EGFR	 0.77238481	-0.01322202	-0.46432264	-0.66128759	-0.76009343	-0.35917497	-0.35967433	-0.44068533	-0.15168026	-0.31638661	-0.44727719	-0.70065937	-0.16193322	-0.14723529
PCNA	-0.2402276	-0.2445751	-0.4447006	-0.5389629	-0.5250223	-0.4406751	-0.4636686	 0.4415698	 0.6071839	 0.3330590	 0.2277453	-0.8239412	 1.1080281	 0.7187392
MitoTrackerGreen	-0.3061355	-0.2743641	-0.1486932	-0.1498288	 0.6367911	-0.2377077	-0.2107608	-0.4103983	-0.2596509	 0.4967813	-0.1633037	-1.1380653	-0.3267099	-0.2727823
