	dmso_0_24_cytosol	dmso_0_24_nucleus
RP.Ap32.ratIgG.H.L.	-0.3271475	 0.1801778
Rb.pS807.pS811..Rb.pS807..Rb.pS811.	-0.2065891	 0.1004815
H3.pS10.	-0.03471725	-0.01509799
E2F.1	-0.2083015	-0.1272396
FOXO1a	 0.006950125	-0.885429694
c.Myc	-0.06536826	-0.69345064
Actin	 0.07943053	-0.84416364
p53.mouseIgG.H.L..goat	-0.33050450	-0.09138515
p21	-0.1843736	-0.1385650
p27Kip1	-0.1806858	-0.4015256
S6.pS235.pS236.	 0.05516752	-0.55669060
H2A.X.pS139.	-0.1254589	-0.3783077
Cyclin.E1	-0.1859089	-0.4898691
HCSCellMaskDeepRedReagent	0.2027140	0.3739369
FOXO3a.rabbitIgG.H.L..goat.highlycross.adsorbed	-0.1779874	-0.9397373
ERK.1.pT202.pY204..ERK.1.pT202..ERK.2.pT185.pY187..ERK.2.pT185.	 0.3656373	-0.8061965
Cyclin.D1	-0.1174844	-0.4886602
KI.67	-0.29074057	-0.01516954
EGFR	 0.2955716	-0.6559331
PCNA	-0.3373281	-0.4382668
MitoTrackerGreenReagent	 0.2582183	-0.3353623
