	0.04	0.12	0.37	01.11	03.33	10.0
A2M			-0.0194263976474	-0.0159460017079		
ABLIM3			-0.0148204428193			
ABP1					-0.0176473137885	-0.0161556625596
ACADVL	-0.0123094448158					
ACAT1		-0.0154536335939				
ACD		-0.0157856705405				
ACOX2			-0.0161183422553			
ACP5					-0.0223591466848	
ACSL5		-0.0152018930773		-0.0177255448171		
ACTA1			-0.0164073711116			
ACTG2				-0.0185195767654		
ACTN1			-0.0151184066777			
ACYP2	-0.0135925835659					
ADAMTS1						-0.0188541557616
ADAMTS9	-0.013209062965					
ADAT1	-0.0121231875098					
ADCK3			-0.0218910533058	-0.0166674842999		
ADM		-0.0182155503611	-0.018053232407			
ADO		-0.0149196797083		-0.0211119907512		-0.0245439523946
ADORA2B			-0.0211676938793	-0.0357098693024	-0.0401254524678	-0.0290931967386
AEN					-0.0151380945251	
AGR2			-0.0298383013243	-0.0349979116406	-0.0240922910467	-0.0272327839505
AGXT2L1			-0.0203282009641			
AIM1	-0.0196384387232			-0.0173709830481		
AIM2			-0.0185556109964			-0.0205997825981
AKAP12			-0.0196296229736			
ALDH1A1		-0.0183803963041				
ALDH1A3		-0.0231131325032	-0.0292221867539	-0.0443507789952	-0.028154599367	-0.0400949292413
ALDH8A1	-0.0148042537788					
ALOX5AP						-0.0162501685794
AMD1	-0.0124777056605			-0.0177889232567	-0.0177307665231	-0.0266205901678
AMIGO2				-0.0204553925701	-0.0238992340608	
ANKRD36B					-0.0188605738725	
ANKRD57				-0.0158505771764	-0.0273988564966	
ANO1	-0.016486432168	-0.0247693437146				
ANPEP		-0.0214399515002			-0.0203251373441	
ANXA10				-0.0266776096356		
ANXA2		-0.0136065728187				
ANXA3	-0.0128857642884	-0.0135965184831				
APOA2			-0.0154337137047			
APOC2				-0.0165412116179		
AQP8						-0.0163218781608
ARAP3			-0.0157113995399			
ARC				-0.0153675814195		-0.0172947476467
ARCN1					-0.0182189506973	
ARFIP2	-0.0145958010972					
ARHGDIB	-0.0155980109863					
ARHGEF2	-0.0147783225546	-0.0189274184499	-0.0188729718329	-0.0261903682633	-0.0190365300655	-0.0184312416288
ARL14						-0.0154152329081
ARPC1A					-0.0172500548128	
ARPC5L	-0.0158692840415					
ASAP1			-0.0173413394352			
ASPN	-0.0159367275366				-0.0162053075255	
ASRGL1		-0.0152316945403				
ASXL2		-0.0133286388979				
ATP11B					-0.0153489611008	
ATP1A2			-0.0149499524352			
ATP7B						-0.0166576624036
ATP8B1	-0.0121630328513					
AUP1	-0.0123902413823					
AXIN1			-0.0151337351981	-0.0199857513142		
AZU1		-0.0243784482509				
B3GNT2				-0.019225378969	-0.0178513407225	
BAG2						-0.0156388082198
BAG3	-0.0188957661708			-0.0159334324253		
BCAR3			-0.0148255594667			-0.0187986415348
BCAS1						-0.0160153341668
BCL10				-0.0208900237803	-0.016862557968	-0.0211295568867
BCL11A		-0.0154556796644				
BCL2A1			-0.0184098293138		-0.0299244214553	-0.0253439688796
BCL7B	-0.0122689026444					
BEX1			-0.0258611773125	-0.0248391723908		-0.0283774536463
