cell_line	agent	time	GR50	GRmax	GR_AOC	GEC50	GRinf	Hill	Replicate
MCF10A-GM (Broad)	Palbociclib	72	5.5594	0.56709	0.094717	2.1227	0.25062	0.7225	MCF10A-GM (Broad) R1
MCF10A-GM (HMS)	Palbociclib	72	3.7099	0.39456	0.16363	1.0978	0.35076	0.99293	MCF10A-GM (HMS) R1
MCF10A-H2B (HMS)	Palbociclib	72	0.54948	0.15139	0.31403	0.40724	0.12775	0.98491	MCF10A-H2B (HMS) R1
MCF10A-HMS (HMS)	Palbociclib	72	0.17893	0.11189	0.43236	0.13673	0.10331	0.86051	MCF10A-HMS (HMS) R1
MCF10A-OHSU (HMS)	Palbociclib	72	1.3268	0.24166	0.23166	0.79995	0.18826	0.93363	MCF10A-OHSU (HMS) R1
MCF10A-GM (HMS)	Palbociclib	72	0.83498	0.29241	0.23676	0.36788	0.35837	1.539	MCF10A-GM (HMS) R2
MCF10A-H2B (HMS)	Palbociclib	72	0.39094	0.16837	0.31206	0.27859	0.22777	1.7943	MCF10A-H2B (HMS) R2
MCF10A-HMS (HMS)	Palbociclib	72	0.20452	0.1261	0.40461	0.15155	0.17919	1.4805	MCF10A-HMS (HMS) R2
MCF10A-OHSU (HMS)	Palbociclib	72	1.2755	0.27043	0.2116	0.56882	0.31155	1.2083	MCF10A-OHSU (HMS) R2
MCF10A-GM (HMS)	Palbociclib	72	1.9907	0.35583	0.18896	0.6661	0.36961	1.2277	MCF10A-GM (HMS) R3
MCF10A-H2B (HMS)	Palbociclib	72	1.051	0.33972	0.20984	0.37702	0.41368	1.7134	MCF10A-H2B (HMS) R3
MCF10A-HMS (HMS)	Palbociclib	72	0.16794	0.083577	0.44426	0.13162	0.072734	0.64509	MCF10A-HMS (HMS) R3
MCF10A-OHSU (HMS)	Palbociclib	72	1.3506	0.30266	0.21356	0.51324	0.36427	1.3476	MCF10A-OHSU (HMS) R3
MCF10A-GM (DToxS)	Palbociclib	72	0.30049	0.2476	0.2766	0.11013	0.36284	1.2886	MCF10A-GM (DToxS) R1
MCF10A-GM (DToxS)	Palbociclib	72	0.20595	0.24582	0.42019	0.092489	0.16995	0.51886	MCF10A-GM (DToxS) R2
MCF10A-GM (Neuro)	Palbociclib	72	100.0	0.48529	-0.17365	0.0	1.0	0.01	MCF10A-GM (Neuro) R1
MCF10A-GM (Neuro)	Palbociclib	72	100.0	0.5766	-0.41011	0.0	1.0	0.01	MCF10A-GM (Neuro) R2
MCF10A-GM (Neuro)	Palbociclib	72	100.0	0.63476	-0.33111	0.0	1.0	0.01	MCF10A-GM (Neuro) R3
MCF10A-GM (MEP)	Palbociclib	72	100.0	0.7279	0.095549	0.40573	0.77148	4.1182	MCF10A-GM (MEP) R1
MCF10A-GM (MEP)	Palbociclib	72	100.0	0.77307	0.089335	0.18532	0.79434	1.1603	MCF10A-GM (MEP) R2
