cell_line	agent	time	GR50	GRmax	GR_AOC	GEC50	GRinf	Hill	Replicate
MCF10A-GM (Broad)	Alpelisib	72	9.497	0.46293	0.11833	61.9747	-1.0	0.58569	MCF10A-GM (Broad) R1
MCF10A-GM (HMS)	Alpelisib	72	14.6463	0.57934	0.085282	76.5784	-1.0	0.66416	MCF10A-GM (HMS) R1
MCF10A-H2B (HMS)	Alpelisib	72	19.9827	0.72384	0.033366	54.4563	-0.97835	1.0813	MCF10A-H2B (HMS) R1
MCF10A-HMS (HMS)	Alpelisib	72	2.5692	0.19906	0.22113	5.3087	-0.30017	0.64792	MCF10A-HMS (HMS) R1
MCF10A-OHSU (HMS)	Alpelisib	72	19.968	0.64025	0.074895	100.0	-0.99899	0.64365	MCF10A-OHSU (HMS) R1
MCF10A-GM (HMS)	Alpelisib	72	4.9885	0.3135	0.166	28.7866	-1.0	0.62678	MCF10A-GM (HMS) R2
MCF10A-H2B (HMS)	Alpelisib	72	61.2517	0.78534	0.028478	17.9647	0.37406	1.1241	MCF10A-H2B (HMS) R2
MCF10A-HMS (HMS)	Alpelisib	72	3.9849	0.29419	0.17696	5.6167	-0.13742	0.70744	MCF10A-HMS (HMS) R2
MCF10A-OHSU (HMS)	Alpelisib	72	20.7478	0.68616	0.049673	79.3409	-0.99988	0.819	MCF10A-OHSU (HMS) R2
MCF10A-GM (HMS)	Alpelisib	72	9.4622	0.46986	0.10626	49.3942	-0.99998	0.6648	MCF10A-GM (HMS) R3
MCF10A-H2B (HMS)	Alpelisib	72	23.9975	0.71095	0.044565	90.611	-0.99986	0.82681	MCF10A-H2B (HMS) R3
MCF10A-HMS (HMS)	Alpelisib	72	6.2858	0.37121	0.15373	39.7057	-0.99999	0.59603	MCF10A-HMS (HMS) R3
MCF10A-OHSU (HMS)	Alpelisib	72	7.9885	0.41946	0.13535	46.122	-1.0	0.6266	MCF10A-OHSU (HMS) R3
MCF10A-GM (DToxS)	Alpelisib	72	2.4404	0.12272	0.16283	2.9329	-0.11008	1.0825	MCF10A-GM (DToxS) R1
MCF10A-GM (DToxS)	Alpelisib	72	1.812	0.22453	0.1936	1.3863	0.12553	1.0794	MCF10A-GM (DToxS) R2
MCF10A-GM (Neuro)	Alpelisib	72	100.0	0.52025	-0.33093	0.0	1.0	0.01	MCF10A-GM (Neuro) R1
MCF10A-GM (Neuro)	Alpelisib	72	100.0	0.88012	-0.52644	0.0	1.0	0.01	MCF10A-GM (Neuro) R2
MCF10A-GM (Neuro)	Alpelisib	72	100.0	0.73828	-0.16143	0.0	1.0	0.01	MCF10A-GM (Neuro) R3
MCF10A-GM (MEP)	Alpelisib	72	14.2962	0.52797	0.17718	100.0	-0.92582	0.29938	MCF10A-GM (MEP) R1
MCF10A-GM (MEP)	Alpelisib	72	15.5681	0.54863	0.16468	100.0	-0.66008	0.32901	MCF10A-GM (MEP) R2
