cell_line	agent	time	GR50	GRmax	GR_AOC	GEC50	GRinf	Hill	Replicate
MCF10A-GM (Broad)	Paclitaxel	72	0.0039958	-0.36132	0.75669	0.0059237	-0.36217	1.3839	MCF10A-GM (Broad) R1
MCF10A-GM (HMS)	Paclitaxel	72	0.0023104	-0.32033	0.66409	0.002868	-0.2638	1.9596	MCF10A-GM (HMS) R1
MCF10A-H2B (HMS)	Paclitaxel	72	0.0021137	-0.21177	0.6412	0.002597	-0.196	1.6063	MCF10A-H2B (HMS) R1
MCF10A-HMS (HMS)	Paclitaxel	72	0.0026995	-0.078501	0.53667	0.0028312	-0.032268	1.3129	MCF10A-HMS (HMS) R1
MCF10A-OHSU (HMS)	Paclitaxel	72	0.0025511	-0.17798	0.60012	0.0028999	-0.14532	1.9905	MCF10A-OHSU (HMS) R1
MCF10A-GM (HMS)	Paclitaxel	72	0.0019774	-0.33805	0.69553	0.0027148	-0.3108	1.5254	MCF10A-GM (HMS) R2
MCF10A-H2B (HMS)	Paclitaxel	72	0.0021598	-0.25383	0.65744	0.0027924	-0.23987	1.5255	MCF10A-H2B (HMS) R2
MCF10A-HMS (HMS)	Paclitaxel	72	0.002371	-0.091228	0.5613	0.0024778	-0.035364	1.5519	MCF10A-HMS (HMS) R2
MCF10A-OHSU (HMS)	Paclitaxel	72	0.002518	-0.24576	0.62829	0.0030474	-0.2136	1.864	MCF10A-OHSU (HMS) R2
MCF10A-GM (HMS)	Paclitaxel	72	0.0022943	-0.3165	0.67523	0.0030698	-0.30417	1.6318	MCF10A-GM (HMS) R3
MCF10A-H2B (HMS)	Paclitaxel	72	0.0021722	-0.26038	0.64688	0.0027719	-0.22559	1.5275	MCF10A-H2B (HMS) R3
MCF10A-HMS (HMS)	Paclitaxel	72	0.0022441	-0.22705	0.63001	0.0028394	-0.20202	1.4423	MCF10A-HMS (HMS) R3
MCF10A-OHSU (HMS)	Paclitaxel	72	0.0023941	-0.28584	0.6493	0.0031343	-0.26439	1.5756	MCF10A-OHSU (HMS) R3
MCF10A-GM (DToxS)	Paclitaxel	72	0.00037651	-0.072939	0.74492	0.00039166	-0.049649	2.4003	MCF10A-GM (DToxS) R1
MCF10A-GM (DToxS)	Paclitaxel	72	7.9028e-05	-0.13791	0.98125	9.3742e-05	-0.13384	1.3891	MCF10A-GM (DToxS) R2
MCF10A-GM (MEP)	Paclitaxel	72	0.0063518	-0.26912	0.504	0.008461	-0.26705	1.4926	MCF10A-GM (MEP) R1
MCF10A-GM (MEP)	Paclitaxel	72	0.0062601	-0.197	0.49928	0.0080385	-0.21057	1.4056	MCF10A-GM (MEP) R2
